iter,lr,train_mse,held_mse,l0,dead_pct,explained_variance
1,0.0,0.05074741318821907,0.04019404575228691,64.0,0.0,-136110.255101978
100,0.0002475,0.0308123379945755,0.020428642630577087,64.0,0.0,-69177.6055389843
200,0.0004975,0.021005727350711823,0.013665968552231789,64.0,0.0,-46276.80292437439
300,0.0005,0.01733141951262951,0.011038311757147312,64.0,0.0,-37378.62582023413
400,0.0005,0.015216968953609467,0.009880605153739452,64.0,0.0,-33458.22302938071
500,0.0005,0.014220585115253925,0.009221876040101051,64.0,0.0,-31227.532926827203
600,0.0005,0.013528955169022083,0.00875348411500454,64.0,0.0,-29641.390901664643
700,0.0005,0.013106397353112698,0.008367984555661678,64.0,0.0,-28335.95410304392
800,0.0005,0.012573701329529285,0.008093009702861309,64.0,0.0,-27404.791628767704
900,0.0005,0.012368827126920223,0.007876337505877018,64.0,0.0,-26671.06447729199
1000,0.0005,0.012074261903762817,0.007716696709394455,64.0,0.0,-26130.46323267902
1100,0.000499229718424189,0.011610611341893673,0.007566188927739859,64.0,0.0029296875,-25620.79057324241
1200,0.0004969236203664039,0.011455973610281944,0.007425835821777582,64.0,0.0021484375465661287,-25145.50643292932
1300,0.0004930959165854125,0.011487877927720547,0.007313893176615238,64.0,0.0013671874767169356,-24766.428711635483
1400,0.0004877701943588159,0.011142542585730553,0.0072075799107551575,64.0,0.0013671874767169356,-24406.413696909513
1500,0.0004809792721322863,0.010875296778976917,0.007117906119674444,64.0,0.0011718750465661287,-24102.747654227325
1600,0.0004727649972840147,0.010919759050011635,0.007032797206193209,64.0,0.0010742187732830644,-23814.537636668687
1700,0.00046317798825059524,0.010821450501680374,0.006970113143324852,64.0,0.0010742187732830644,-23602.268415457947
1800,0.0004522773226034326,0.010826239362359047,0.006893983110785484,64.0,0.0010742187732830644,-23344.4640659379
1900,0.0004401301729978233,0.010604430921375751,0.006830013357102871,64.0,0.0010742187732830644,-23127.839957733937
2000,0.00042681139323808617,0.010605134069919586,0.006782068870961666,64.0,0.001269531319849193,-22965.483487353453
2100,0.00041240305700951065,0.010558250360190868,0.006727172527462244,64.0,0.0015625000232830644,-22779.585411442444
2200,0.00039699395211957654,0.010361412540078163,0.006670405622571707,64.0,0.001757812569849193,-22587.352390759614
2300,0.0003806790333650556,0.01032311376184225,0.006626843474805355,64.0,0.002050781389698386,-22439.836019387832
2400,0.0003635588373965674,0.010268946178257465,0.006586179137229919,64.0,0.00244140625,-22302.13106166429
2500,0.0003457388631863424,0.010275072418153286,0.006558206398040056,64.0,0.0026367187965661287,-22207.40658567975
2600,0.00032732892191690506,0.010197709314525127,0.006530219689011574,64.0,0.003027343889698386,-22112.632504907437
2700,0.0003084424602968283,0.010329345241189003,0.006495635956525803,64.0,0.0033203125931322575,-21995.51973470809
2800,0.0002891958614734579,0.010033713653683662,0.006462850142270327,64.0,0.0037109374534338713,-21884.49595220786
2900,0.00026970772785055896,0.009946276433765888,0.006435131188482046,64.0,0.005078125279396772,-21790.629225678556
3000,0.0002500981502303451,0.010125263594090939,0.006405981257557869,64.0,0.006054687779396772,-21691.917764876776
3100,0.00023048796778361838,0.009986521676182747,0.006384076550602913,64.0,0.007519531529396772,-21617.740005360974
3200,0.00021099802340827494,0.009916462935507298,0.006353896111249924,64.0,0.008496093563735485,-21515.539674485837
3300,0.00019174841906484212,0.009765795432031155,0.006327315699309111,64.0,0.009667969308793545,-21425.527653339715
3400,0.000172857775677859,0.009824461303651333,0.006309615448117256,64.0,0.01123046875,-21365.588534780876
3500,0.00015444250216377537,0.009717568755149841,0.006287742871791124,64.0,0.01171875,-21291.520319171406
3600,0.00013661607808980247,0.00983305461704731,0.006271854043006897,64.0,0.012988281436264515,-21237.71565936714
3700,0.00011948835438415473,0.009647908620536327,0.006255302112549543,64.0,0.01425781287252903,-21181.664316049995
3800,0.00010316487640688024,0.009729774668812752,0.0062419334426522255,64.0,0.015429687686264515,-21136.39374660881
3900,8.774623355269163e-05,0.009732658974826336,0.006229418329894543,64.0,0.0166015625,-21094.012656055394
4000,7.332743939370554e-05,0.009836657904088497,0.00621474115177989,64.0,0.01738281361758709,-21044.310725573174
4100,5.999734618181052e-05,0.009562506340444088,0.00620580930262804,64.0,0.01845703087747097,-21014.06420622869
4200,4.7838097318646385e-05,0.009647133760154247,0.006197087466716766,64.0,0.01972656324505806,-20984.52868884228
4300,3.692462116721321e-05,0.009423861280083656,0.006189997307956219,64.0,0.0205078125,-20960.51997156023
4400,2.7324169324370844e-05,0.009609133936464787,0.006183884106576443,64.0,0.02138671837747097,-20939.818240129698
4500,1.9095902199511435e-05,0.009647977538406849,0.006178311072289944,64.0,0.021484375,-20920.945685248294
4600,1.2290524453171998e-05,0.009592738933861256,0.006174469832330942,64.0,0.02236328087747097,-20907.938896521024
4700,6.949972542108024e-06,0.009645894169807434,0.006172099616378546,64.0,0.02304687537252903,-20899.911188366455
4800,3.107156296253577e-06,0.009490400552749634,0.006168421357870102,64.0,0.02324218861758709,-20887.45625290316
4900,7.85756120035952e-07,0.009598270989954472,0.006167025770992041,64.0,0.0234375,-20882.72933000164
5000,7.706774174387477e-11,0.009594532661139965,0.006166696548461914,64.0,0.02392578125,-20881.61528914291
