layer,head,score
15,10,0.050171
15,11,0.038391
15,12,0.046875
15,13,0.051666
15,14,0.036041
15,15,0.041473
15,16,0.044067
15,17,0.040680
15,18,0.042023
15,19,0.026672
16,0,0.066345
16,1,0.027435
16,2,0.051392
16,3,0.037354
16,4,0.047821
16,5,0.022095
16,6,0.039490
16,7,0.036957
16,8,0.025955
16,9,0.041321
16,10,0.073669
16,11,0.033905
16,12,0.032410
16,13,0.063477
16,14,0.026703
16,15,0.063904
16,16,0.033691
16,17,0.064270
16,18,0.058044
16,19,0.026627
17,0,0.057892
17,1,0.034424
17,2,0.021057
17,3,0.009155
17,4,0.018570
17,5,0.032257
17,6,0.060974
17,7,0.056671
17,8,0.046021
17,9,0.020279
17,10,0.022797
17,11,0.017838
17,12,0.037231
17,13,0.023056
17,14,0.055450
17,15,0.056183
17,16,0.022354
17,17,0.053223
17,18,0.061737
17,19,0.036407
18,0,0.012222
18,1,0.029572
18,2,0.037750
18,3,0.026688
18,4,0.038086
18,5,0.025497
18,6,0.047150
18,7,0.040466
18,8,0.070923
18,9,0.040558
18,10,0.051758
18,11,0.013031
18,12,0.025314
18,13,0.035675
18,14,0.021469
18,15,0.035004
18,16,0.020020
18,17,0.039429
18,18,0.038605
18,19,0.024918
19,0,0.033020
19,1,0.028381
19,2,0.045105
19,3,0.002016
19,4,0.044250
19,5,0.020462
19,6,0.006123
19,7,0.023987
19,8,0.033112
19,9,0.038177
19,10,0.027817
19,11,0.035065
19,12,0.022430
19,13,0.015228
19,14,0.048370
19,15,0.024582
19,16,0.035614
19,17,0.018661
19,18,0.040344
19,19,0.035004
20,0,0.048584
20,1,0.027878
20,2,0.012253
20,3,0.023087
20,4,0.036835
20,5,0.054840
20,6,0.033997
20,7,0.050751
20,8,0.061188
20,9,0.046295
20,10,0.045746
20,11,0.048462
20,12,0.020279
20,13,0.036346
20,14,0.064697
20,15,0.024963
20,16,0.036621
20,17,0.001921
20,18,0.034363
20,19,0.008385
21,0,0.054291
21,1,0.042694
21,2,0.031616
21,3,0.024078
21,4,0.006695
21,5,0.052216
21,6,0.003399
21,7,0.023727
21,8,0.025406
21,9,0.008331
21,10,0.026016
21,11,0.023376
21,12,0.013313
21,13,0.002754
21,14,0.032318
21,15,0.030930
21,16,0.009071
21,17,0.025162
21,18,0.042236
21,19,0.075500
22,0,0.011101
22,1,0.010818
22,2,0.071289
22,3,0.045288
22,4,0.009071
22,5,0.032654
22,6,0.009674
22,7,0.001355
22,8,0.022507
22,9,0.053680
22,10,0.019547
22,11,0.018494
22,12,0.006920
22,13,0.042053
22,14,0.041687
22,15,0.065613
22,16,0.001148
22,17,0.000301
22,18,0.007042
22,19,0.000690
23,0,0.113159
23,1,0.029083
23,2,0.013588
23,3,0.023178
23,4,0.032349
23,5,0.047699
23,6,0.055023
23,7,0.000060
23,8,0.032898
23,9,0.020020
23,10,0.014336
23,11,0.006355
23,12,0.040680
23,13,0.015976
23,14,0.032318
23,15,0.023804
23,16,0.002462
23,17,0.000592
23,18,0.019562
23,19,0.047729
24,0,0.002283
24,1,0.020630
24,2,0.039215
24,3,0.003317
24,4,0.039886
24,5,0.001073
24,6,0.044098
24,7,0.007164
24,8,0.047852
24,9,0.024811
24,10,0.032898
24,11,0.004059
24,12,0.009399
24,13,0.039856
24,14,0.000688
24,15,0.039429
24,16,0.063721
24,17,0.040222
24,18,0.033295
24,19,0.044403
25,0,0.018250
25,1,0.013077
25,2,0.046722
25,3,0.024841
25,4,0.042511
25,5,0.042542
25,6,0.041901
25,7,0.016983
25,8,0.015083
25,9,0.056000
25,10,0.029282
25,11,0.028564
25,12,0.019241
25,13,0.040802
25,14,0.009636
25,15,0.025818
25,16,0.045837
25,17,0.046021
25,18,0.066162
25,19,0.016891
26,0,0.002682
26,1,0.029922
26,2,0.035706
26,3,0.008888
26,4,0.038330
26,5,0.047791
26,6,0.044434
26,7,0.034546
26,8,0.023224
26,9,0.015701
26,10,0.042542
26,11,0.042542
26,12,0.022049
26,13,0.031982
26,14,0.018204
26,15,0.044800
26,16,0.033386
26,17,0.017593
26,18,0.045013
26,19,0.003990
27,0,0.026627
27,1,0.068176
27,2,0.046112
27,3,0.041382
27,4,0.043671
27,5,0.052917
27,6,0.037262
27,7,0.047180
27,8,0.000268
27,9,0.029694
27,10,0.000882
27,11,0.045074
27,12,0.058075
27,13,0.037506
27,14,0.004635
27,15,0.063782
27,16,0.080322
27,17,0.052429
27,18,0.001698
27,19,0.035004
28,0,0.052429
28,1,0.050873
28,2,0.003077
28,3,0.017899
28,4,0.020905
28,5,0.023422
28,6,0.009048
28,7,0.039825
28,8,0.038635
28,9,0.043915
28,10,0.050934
28,11,0.013626
28,12,0.042084
28,13,0.012810
28,14,0.030609
28,15,0.042999
28,16,0.001561
28,17,0.015762
28,18,0.041656
28,19,0.040741
29,0,0.048309
29,1,0.030243
29,2,0.039856
29,3,0.017502
29,4,0.008980
29,5,0.009651
29,6,0.037079
29,7,0.010483
29,8,0.014359
29,9,0.016602
29,10,0.002508
29,11,0.019104
29,12,0.014198
29,13,0.006184
29,14,0.019958
29,15,0.034760
29,16,0.018875
29,17,0.030777
29,18,0.005566
29,19,0.010780
30,0,0.015671
30,1,0.017548
30,2,0.012756
30,3,0.035461
30,4,0.056091
30,5,0.015915
30,6,0.029312
30,7,0.046661
30,8,0.038452
30,9,0.055298
30,10,0.006325
30,11,0.030746
30,12,0.024765
30,13,0.039001
30,14,0.038055
30,15,0.047913
30,16,0.029968
30,17,0.043854
30,18,0.041779
30,19,0.052246
31,0,0.029877
31,1,0.023972
31,2,0.041870
31,3,0.041748
31,4,0.017136
31,5,0.025543
31,6,0.053070
31,7,0.056427
31,8,0.033630
31,9,0.016632
31,10,0.028748
31,11,0.016052
31,12,0.025787
31,13,0.035736
31,14,0.057190
31,15,0.048401
31,16,0.015625
31,17,0.072632
31,18,0.042816
31,19,0.023895
32,0,0.035461
32,1,0.022797
32,2,0.025635
32,3,0.008415
32,4,0.005905
32,5,0.028427
32,6,0.039795
32,7,0.051392
32,8,0.052032
32,9,0.040192
32,10,0.012627
32,11,0.014694
32,12,0.009232
32,13,0.020126
32,14,0.018219
32,15,0.039154
32,16,0.027679
32,17,0.019943
32,18,0.012535
32,19,0.012848
33,0,0.030273
33,1,0.001594
33,2,0.025757
33,3,0.004993
33,4,0.011482
33,5,0.060608
33,6,0.027756
33,7,0.056854
33,8,0.021439
33,9,0.019592
33,10,0.026993
33,11,0.006226
33,12,0.027924
33,13,0.005272
33,14,0.020538
33,15,0.014442
33,16,0.010902
33,17,0.003500
33,18,0.014626
33,19,0.011162
34,0,0.011497
34,1,0.046906
34,2,0.022385
34,3,0.005455
34,4,0.053650
34,5,0.017014
34,6,0.045563
34,7,0.016205
34,8,0.020355
34,9,0.020142
34,10,0.004944
34,11,0.050964
34,12,0.009827
34,13,0.011482
34,14,0.023438
34,15,0.008957
34,16,0.013321
34,17,0.038788
34,18,0.004951
34,19,0.021317
35,0,0.019302
35,1,0.027222
35,2,0.024780
35,3,0.041046
35,4,0.007919
35,5,0.018921
35,6,0.018082
35,7,0.013451
35,8,0.006691
35,9,0.020660
35,10,0.037201
35,11,0.026169
35,12,0.042023
35,13,0.007553
35,14,0.050842
35,15,0.027649
35,16,0.010765
35,17,0.019257
35,18,0.031158
35,19,0.036621
