layer,head,score
15,10,0.009567
15,11,0.006149
15,12,0.000034
15,13,0.004833
15,14,0.023270
15,15,0.011971
15,16,0.014793
15,17,0.007401
15,18,0.025848
15,19,0.020599
16,0,0.033478
16,1,0.005604
16,2,0.010078
16,3,0.013962
16,4,0.018112
16,5,0.014091
16,6,0.013008
16,7,0.017288
16,8,0.020828
16,9,0.185059
16,10,0.015297
16,11,0.000247
16,12,0.000277
16,13,0.007942
16,14,0.032440
16,15,0.007271
16,16,0.024078
16,17,0.000010
16,18,0.018631
16,19,0.010277
17,0,0.007664
17,1,0.004677
17,2,0.030441
17,3,0.016861
17,4,0.033905
17,5,0.044891
17,6,0.004303
17,7,0.013893
17,8,0.009087
17,9,0.001345
17,10,0.095337
17,11,0.035431
17,12,0.008438
17,13,0.032196
17,14,0.015182
17,15,0.008293
17,16,0.004116
17,17,0.022354
17,18,0.021988
17,19,0.006714
18,0,0.010582
18,1,0.021851
18,2,0.009346
18,3,0.019363
18,4,0.415283
18,5,0.893555
18,6,0.010651
18,7,0.300293
18,8,0.094238
18,9,0.044464
18,10,0.007534
18,11,0.020187
18,12,0.005836
18,13,0.021179
18,14,0.010834
18,15,0.013336
18,16,0.897461
18,17,0.011299
18,18,0.026443
18,19,0.022110
19,0,0.028427
19,1,0.021317
19,2,0.016098
19,3,0.019974
19,4,0.023193
19,5,0.050598
19,6,0.042542
19,7,0.011497
19,8,0.001165
19,9,0.012619
19,10,0.592285
19,11,0.010071
19,12,0.002918
19,13,0.757812
19,14,0.008751
19,15,0.011925
19,16,0.019745
19,17,0.018021
19,18,0.026154
19,19,0.005943
20,0,0.011894
20,1,0.011322
20,2,0.024994
20,3,0.005787
20,4,0.018661
20,5,0.034668
20,6,0.040039
20,7,0.033264
20,8,0.677246
20,9,0.026367
20,10,0.139282
20,11,0.037689
20,12,0.889160
20,13,0.537598
20,14,0.804199
20,15,0.042267
20,16,0.019424
20,17,0.014824
20,18,0.015289
20,19,0.698730
21,0,0.005253
21,1,0.046539
21,2,0.039032
21,3,0.052124
21,4,0.834473
21,5,0.022949
21,6,0.815430
21,7,0.076111
21,8,0.072205
21,9,0.566406
21,10,0.276123
21,11,0.087585
21,12,0.016037
21,13,0.042999
21,14,0.572754
21,15,0.015442
21,16,0.035583
21,17,0.028046
21,18,0.025574
21,19,0.112427
22,0,0.038177
22,1,0.422119
22,2,0.016876
22,3,0.024048
22,4,0.051453
22,5,0.050873
22,6,0.248047
22,7,0.494385
22,8,0.072937
22,9,0.044708
22,10,0.348389
22,11,0.071289
22,12,0.125122
22,13,0.057953
22,14,0.005119
22,15,0.273438
22,16,0.014137
22,17,0.038757
22,18,0.178589
22,19,0.041687
23,0,0.364258
23,1,0.024368
23,2,0.041595
23,3,0.027267
23,4,0.039185
23,5,0.026047
23,6,0.026733
23,7,0.136597
23,8,0.059662
23,9,0.045990
23,10,0.009644
23,11,0.048157
23,12,0.039215
23,13,0.071594
23,14,0.014702
23,15,0.012337
23,16,0.010506
23,17,0.101501
23,18,0.103149
23,19,0.004131
24,0,0.123230
24,1,0.201050
24,2,0.281006
24,3,0.018661
24,4,0.638672
24,5,0.026947
24,6,0.064331
24,7,0.020508
24,8,0.033295
24,9,0.046936
24,10,0.099915
24,11,0.016190
24,12,0.039124
24,13,0.023041
24,14,0.008705
24,15,0.045349
24,16,0.110474
24,17,0.049530
24,18,0.003513
24,19,0.036499
25,0,0.030869
25,1,0.161621
25,2,0.163818
25,3,0.071228
25,4,0.030457
25,5,0.042816
25,6,0.530762
25,7,0.391602
25,8,0.038177
25,9,0.069275
25,10,0.031891
25,11,0.648438
25,12,0.144043
25,13,0.009087
25,14,0.017120
25,15,0.016449
25,16,0.041260
25,17,0.036499
25,18,0.089111
25,19,0.104553
26,0,0.611328
26,1,0.305420
26,2,0.277344
26,3,0.076355
26,4,0.056793
26,5,0.095703
26,6,0.174438
26,7,0.034546
26,8,0.055359
26,9,0.089294
26,10,0.033722
26,11,0.076050
26,12,0.055725
26,13,0.033478
26,14,0.057312
26,15,0.581055
26,16,0.558594
26,17,0.022690
26,18,0.014137
26,19,0.648926
27,0,0.018402
27,1,0.038666
27,2,0.010857
27,3,0.041473
27,4,0.767578
27,5,0.045929
27,6,0.072205
27,7,0.025970
27,8,0.008919
27,9,0.024887
27,10,0.059448
27,11,0.034119
27,12,0.013069
27,13,0.056915
27,14,0.034668
27,15,0.088074
27,16,0.324463
27,17,0.088013
27,18,0.054016
27,19,0.193481
28,0,0.112244
28,1,0.062408
28,2,0.022720
28,3,0.042938
28,4,0.015297
28,5,0.013130
28,6,0.088013
28,7,0.028229
28,8,0.044128
28,9,0.073853
28,10,0.069214
28,11,0.008591
28,12,0.055695
28,13,0.082520
28,14,0.025360
28,15,0.052826
28,16,0.032104
28,17,0.001860
28,18,0.110901
28,19,0.032745
29,0,0.046814
29,1,0.065979
29,2,0.009499
29,3,0.045654
29,4,0.019669
29,5,0.005260
29,6,0.014389
29,7,0.005505
29,8,0.350342
29,9,0.043793
29,10,0.061493
29,11,0.015762
29,12,0.010338
29,13,0.023163
29,14,0.010811
29,15,0.104492
29,16,0.041779
29,17,0.053131
29,18,0.042419
29,19,0.002968
30,0,0.043213
30,1,0.040009
30,2,0.008202
30,3,0.053619
30,4,0.122375
30,5,0.015564
30,6,0.086548
30,7,0.300537
30,8,0.028168
30,9,0.023590
30,10,0.002394
30,11,0.086853
30,12,0.077332
30,13,0.409180
30,14,0.045227
30,15,0.480469
30,16,0.057465
30,17,0.453369
30,18,0.044617
30,19,0.038727
31,0,0.099182
31,1,0.027969
31,2,0.008125
31,3,0.051910
31,4,0.006180
31,5,0.011719
31,6,0.007111
31,7,0.060364
31,8,0.027771
31,9,0.019669
31,10,0.074829
31,11,0.102539
31,12,0.030014
31,13,0.060120
31,14,0.013313
31,15,0.615723
31,16,0.003502
31,17,0.606934
31,18,0.006554
31,19,0.098511
32,0,0.047668
32,1,0.003506
32,2,0.079224
32,3,0.002417
32,4,0.057892
32,5,0.058929
32,6,0.059021
32,7,0.025909
32,8,0.017197
32,9,0.065002
32,10,0.007332
32,11,0.089111
32,12,0.115784
32,13,0.004730
32,14,0.057098
32,15,0.003914
32,16,0.138428
32,17,0.053101
32,18,0.022430
32,19,0.030609
33,0,0.053894
33,1,0.044312
33,2,0.057312
33,3,0.006348
33,4,0.067871
33,5,0.029160
33,6,0.029419
33,7,0.029465
33,8,0.056915
