layer,head,score
15,10,0.012909
15,11,0.015480
15,12,0.000364
15,13,0.007351
15,14,0.023392
15,15,0.007896
15,16,0.010178
15,17,0.009140
15,18,0.025497
15,19,0.016205
16,0,0.033356
16,1,0.010544
16,2,0.012894
16,3,0.013275
16,4,0.031860
16,5,0.025269
16,6,0.013969
16,7,0.034180
16,8,0.018066
16,9,0.096008
16,10,0.013718
16,11,0.001081
16,12,0.000113
16,13,0.012558
16,14,0.010231
16,15,0.008934
16,16,0.065674
16,17,0.000011
16,18,0.016815
16,19,0.020493
17,0,0.007763
17,1,0.005272
17,2,0.053406
17,3,0.060455
17,4,0.034088
17,5,0.026031
17,6,0.009872
17,7,0.021652
17,8,0.006783
17,9,0.001680
17,10,0.063782
17,11,0.033234
17,12,0.014816
17,13,0.089050
17,14,0.020477
17,15,0.008850
17,16,0.005291
17,17,0.047119
17,18,0.033569
17,19,0.008240
18,0,0.007172
18,1,0.022659
18,2,0.009888
18,3,0.016510
18,4,0.017349
18,5,0.003918
18,6,0.012077
18,7,0.100830
18,8,0.010101
18,9,0.055084
18,10,0.016434
18,11,0.028748
18,12,0.003832
18,13,0.035736
18,14,0.015373
18,15,0.019226
18,16,0.004051
18,17,0.020065
18,18,0.033752
18,19,0.069641
19,0,0.022202
19,1,0.022125
19,2,0.018646
19,3,0.019302
19,4,0.023972
19,5,0.027771
19,6,0.062805
19,7,0.008858
19,8,0.001216
19,9,0.016068
19,10,0.012794
19,11,0.015030
19,12,0.003778
19,13,0.019608
19,14,0.007240
19,15,0.004475
19,16,0.012650
19,17,0.014763
19,18,0.026352
19,19,0.008484
20,0,0.009453
20,1,0.013435
20,2,0.033112
20,3,0.008255
20,4,0.017334
20,5,0.037476
20,6,0.013885
20,7,0.035217
20,8,0.059326
20,9,0.027527
20,10,0.059937
20,11,0.018494
20,12,0.003004
20,13,0.021011
20,14,0.025299
20,15,0.014847
20,16,0.026840
20,17,0.021179
20,18,0.010506
20,19,0.023788
21,0,0.003870
21,1,0.052643
21,2,0.041718
21,3,0.027359
21,4,0.012192
21,5,0.023041
21,6,0.006824
21,7,0.052063
21,8,0.044128
21,9,0.021378
21,10,0.060455
21,11,0.035431
21,12,0.018417
21,13,0.029694
21,14,0.016632
21,15,0.011208
21,16,0.043060
21,17,0.029022
21,18,0.017609
21,19,0.014557
22,0,0.033691
22,1,0.037720
22,2,0.033539
22,3,0.030518
22,4,0.052582
22,5,0.041718
22,6,0.040802
22,7,0.036133
22,8,0.019501
22,9,0.022980
22,10,0.016617
22,11,0.046692
22,12,0.051453
22,13,0.027893
22,14,0.008499
22,15,0.029907
22,16,0.011681
22,17,0.015778
22,18,0.029831
22,19,0.017044
23,0,0.045898
23,1,0.015961
23,2,0.032715
23,3,0.029129
23,4,0.022675
23,5,0.036865
23,6,0.017883
23,7,0.030594
23,8,0.021393
23,9,0.042999
23,10,0.009071
23,11,0.021210
23,12,0.018982
23,13,0.016022
23,14,0.019409
23,15,0.012413
23,16,0.018661
23,17,0.034393
23,18,0.038116
23,19,0.002596
24,0,0.038574
24,1,0.015472
24,2,0.020981
24,3,0.021683
24,4,0.019913
24,5,0.027069
24,6,0.034119
24,7,0.013557
24,8,0.026169
24,9,0.027374
24,10,0.037292
24,11,0.021057
24,12,0.046204
24,13,0.015961
24,14,0.012268
24,15,0.020767
24,16,0.058014
24,17,0.029404
24,18,0.005993
24,19,0.028366
25,0,0.021927
25,1,0.023911
25,2,0.016693
25,3,0.045868
25,4,0.013405
25,5,0.027130
25,6,0.008423
25,7,0.024887
25,8,0.047546
25,9,0.034058
25,10,0.023346
25,11,0.021454
25,12,0.039124
25,13,0.013687
25,14,0.025024
25,15,0.006130
25,16,0.033386
25,17,0.022629
25,18,0.056427
25,19,0.033295
26,0,0.004501
26,1,0.024323
26,2,0.020233
26,3,0.048431
26,4,0.028564
26,5,0.028870
26,6,0.015587
26,7,0.030518
26,8,0.017334
26,9,0.046844
26,10,0.024170
26,11,0.050934
26,12,0.036743
26,13,0.021378
26,14,0.025024
26,15,0.016891
26,16,0.019043
26,17,0.029266
26,18,0.021378
26,19,0.005417
27,0,0.019043
27,1,0.034943
27,2,0.010223
27,3,0.027802
27,4,0.002653
27,5,0.020874
27,6,0.042572
27,7,0.009888
27,8,0.007610
27,9,0.027283
27,10,0.015236
27,11,0.011963
27,12,0.017776
27,13,0.044678
27,14,0.022415
27,15,0.019653
27,16,0.035706
27,17,0.026443
27,18,0.030441
27,19,0.037628
28,0,0.031525
28,1,0.018524
28,2,0.029419
28,3,0.030151
28,4,0.007778
28,5,0.011002
28,6,0.030823
28,7,0.041473
28,8,0.016937
28,9,0.023651
28,10,0.038147
28,11,0.006153
28,12,0.008629
28,13,0.016190
28,14,0.009026
28,15,0.016342
28,16,0.007339
28,17,0.004955
28,18,0.033447
28,19,0.014763
29,0,0.015434
29,1,0.011520
29,2,0.003403
29,3,0.020676
29,4,0.014771
29,5,0.002302
29,6,0.015518
29,7,0.009727
29,8,0.045898
29,9,0.002512
29,10,0.015747
29,11,0.016068
29,12,0.019333
29,13,0.013557
29,14,0.005424
29,15,0.015671
29,16,0.016403
29,17,0.011093
29,18,0.016373
29,19,0.005341
30,0,0.018021
30,1,0.009064
30,2,0.010796
30,3,0.010612
30,4,0.023895
30,5,0.013405
30,6,0.013405
30,7,0.013504
30,8,0.025223
30,9,0.018509
30,10,0.004799
30,11,0.013710
30,12,0.014862
30,13,0.030975
30,14,0.016174
30,15,0.015366
30,16,0.020111
30,17,0.007034
30,18,0.004585
30,19,0.020340
31,0,0.021072
31,1,0.013077
31,2,0.004971
31,3,0.042328
31,4,0.003048
31,5,0.010101
31,6,0.008125
31,7,0.029190
31,8,0.033691
31,9,0.009644
31,10,0.016861
31,11,0.038940
31,12,0.007156
31,13,0.020401
31,14,0.011276
31,15,0.010101
31,16,0.006145
31,17,0.002300
31,18,0.006599
31,19,0.013268
32,0,0.011116
32,1,0.007446
32,2,0.011917
32,3,0.002350
32,4,0.005932
32,5,0.016052
32,6,0.038055
32,7,0.029968
32,8,0.022247
32,9,0.015640
32,10,0.005150
32,11,0.024429
32,12,0.022049
32,13,0.011604
32,14,0.011314
32,15,0.005234
32,16,0.039642
32,17,0.028244
32,18,0.002974
32,19,0.009094
33,0,0.013916
33,1,0.023407
33,2,0.026337
33,3,0.009697
33,4,0.035400
33,5,0.026337
33,6,0.043152
33,7,0.019928
33,8,0.024887
33,9,0.012192
33,10,0.007866
33,11,0.011086
33,12,0.006210
33,13,0.009209
33,14,0.017136
33,15,0.012421
33,16,0.010323
33,17,0.004597
33,18,0.009315
33,19,0.004646
34,0,0.018188
34,1,0.012756
34,2,0.013885
34,3,0.009300
34,4,0.029083
34,5,0.010040
34,6,0.013016
34,7,0.025085
34,8,0.026962
34,9,0.036987
34,10,0.008316
34,11,0.011688
34,12,0.014557
34,13,0.013359
34,14,0.011314
34,15,0.046051
34,16,0.005177
34,17,0.012131
34,18,0.008102
34,19,0.032410
35,0,0.013763
35,1,0.045227
35,2,0.034790
35,3,0.017654
35,4,0.013092
35,5,0.014717
35,6,0.018417
35,7,0.027069
35,8,0.024490
35,9,0.016342
35,10,0.021255
35,11,0.017975
35,12,0.018112
35,13,0.028915
35,14,0.013397
35,15,0.020508
35,16,0.020157
35,17,0.032196
35,18,0.038940
35,19,0.025330
