layer,head,src_idx,src_token,dst_idx,dst_token,weight
0,6,1, cat,0,The,0.657715
0,6,1, cat,1, cat,0.342285
0,6,1, cat,2, sat,0.000000
0,6,1, cat,3, on,0.000000
0,6,1, cat,4, the,0.000000
0,6,2, sat,0,The,0.498047
0,6,2, sat,1, cat,0.249756
0,6,2, sat,2, sat,0.252197
0,6,2, sat,3, on,0.000000
0,6,2, sat,4, the,0.000000
0,6,3, on,0,The,0.284424
0,6,3, on,1, cat,0.235840
0,6,3, on,2, sat,0.214355
0,6,3, on,3, on,0.265381
0,6,3, on,4, the,0.000000
0,6,4, the,0,The,0.205688
0,6,4, the,1, cat,0.184692
0,6,4, the,2, sat,0.173584
0,6,4, the,3, on,0.198120
0,6,4, the,4, the,0.237915
0,7,0,The,0,The,1.000000
0,7,0,The,1, cat,0.000000
0,7,0,The,2, sat,0.000000
0,7,0,The,3, on,0.000000
0,7,0,The,4, the,0.000000
0,7,1, cat,0,The,0.701660
0,7,1, cat,1, cat,0.298340
0,7,1, cat,2, sat,0.000000
0,7,1, cat,3, on,0.000000
0,7,1, cat,4, the,0.000000
0,7,2, sat,0,The,0.577637
0,7,2, sat,1, cat,0.188354
0,7,2, sat,2, sat,0.234131
0,7,2, sat,3, on,0.000000
0,7,2, sat,4, the,0.000000
0,7,3, on,0,The,0.318604
0,7,3, on,1, cat,0.206421
0,7,3, on,2, sat,0.259033
0,7,3, on,3, on,0.216187
0,7,3, on,4, the,0.000000
0,7,4, the,0,The,0.252197
0,7,4, the,1, cat,0.187012
0,7,4, the,2, sat,0.185425
0,7,4, the,3, on,0.163818
0,7,4, the,4, the,0.211548
0,8,0,The,0,The,1.000000
0,8,0,The,1, cat,0.000000
0,8,0,The,2, sat,0.000000
0,8,0,The,3, on,0.000000
0,8,0,The,4, the,0.000000
0,8,1, cat,0,The,0.726562
0,8,1, cat,1, cat,0.273682
0,8,1, cat,2, sat,0.000000
0,8,1, cat,3, on,0.000000
0,8,1, cat,4, the,0.000000
0,8,2, sat,0,The,0.514648
0,8,2, sat,1, cat,0.211548
0,8,2, sat,2, sat,0.273926
0,8,2, sat,3, on,0.000000
0,8,2, sat,4, the,0.000000
0,8,3, on,0,The,0.347900
0,8,3, on,1, cat,0.207031
0,8,3, on,2, sat,0.203979
0,8,3, on,3, on,0.241211
0,8,3, on,4, the,0.000000
0,8,4, the,0,The,0.243896
0,8,4, the,1, cat,0.159912
0,8,4, the,2, sat,0.166870
0,8,4, the,3, on,0.158081
0,8,4, the,4, the,0.271240
0,9,0,The,0,The,1.000000
0,9,0,The,1, cat,0.000000
0,9,0,The,2, sat,0.000000
0,9,0,The,3, on,0.000000
0,9,0,The,4, the,0.000000
0,9,1, cat,0,The,0.694336
0,9,1, cat,1, cat,0.305664
0,9,1, cat,2, sat,0.000000
0,9,1, cat,3, on,0.000000
0,9,1, cat,4, the,0.000000
0,9,2, sat,0,The,0.529297
0,9,2, sat,1, cat,0.270996
0,9,2, sat,2, sat,0.199463
0,9,2, sat,3, on,0.000000
0,9,2, sat,4, the,0.000000
0,9,3, on,0,The,0.364502
0,9,3, on,1, cat,0.274170
0,9,3, on,2, sat,0.158203
0,9,3, on,3, on,0.203125
0,9,3, on,4, the,0.000000
0,9,4, the,0,The,0.303223
0,9,4, the,1, cat,0.188599
0,9,4, the,2, sat,0.132690
0,9,4, the,3, on,0.160767
0,9,4, the,4, the,0.214722
0,10,0,The,0,The,1.000000
0,10,0,The,1, cat,0.000000
0,10,0,The,2, sat,0.000000
0,10,0,The,3, on,0.000000
0,10,0,The,4, the,0.000000
0,10,1, cat,0,The,0.634766
0,10,1, cat,1, cat,0.365234
0,10,1, cat,2, sat,0.000000
0,10,1, cat,3, on,0.000000
0,10,1, cat,4, the,0.000000
0,10,2, sat,0,The,0.510254
0,10,2, sat,1, cat,0.239502
0,10,2, sat,2, sat,0.250488
0,10,2, sat,3, on,0.000000
0,10,2, sat,4, the,0.000000
0,10,3, on,0,The,0.312988
0,10,3, on,1, cat,0.214233
0,10,3, on,2, sat,0.218140
0,10,3, on,3, on,0.254639
0,10,3, on,4, the,0.000000
0,10,4, the,0,The,0.231934
0,10,4, the,1, cat,0.193970
0,10,4, the,2, sat,0.146729
0,10,4, the,3, on,0.180542
0,10,4, the,4, the,0.246948
0,11,0,The,0,The,1.000000
0,11,0,The,1, cat,0.000000
0,11,0,The,2, sat,0.000000
0,11,0,The,3, on,0.000000
0,11,0,The,4, the,0.000000
0,11,1, cat,0,The,0.693359
0,11,1, cat,1, cat,0.306641
0,11,1, cat,2, sat,0.000000
0,11,1, cat,3, on,0.000000
0,11,1, cat,4, the,0.000000
0,11,2, sat,0,The,0.489258
0,11,2, sat,1, cat,0.187256
0,11,2, sat,2, sat,0.323486
0,11,2, sat,3, on,0.000000
0,11,2, sat,4, the,0.000000
0,11,3, on,0,The,0.316895
0,11,3, on,1, cat,0.197876
0,11,3, on,2, sat,0.259521
0,11,3, on,3, on,0.225708
0,11,3, on,4, the,0.000000
0,11,4, the,0,The,0.312012
0,11,4, the,1, cat,0.173828
0,11,4, the,2, sat,0.187256
0,11,4, the,3, on,0.146484
0,11,4, the,4, the,0.180298
0,12,0,The,0,The,1.000000
0,12,0,The,1, cat,0.000000
0,12,0,The,2, sat,0.000000
0,12,0,The,3, on,0.000000
0,12,0,The,4, the,0.000000
0,12,1, cat,0,The,0.693848
0,12,1, cat,1, cat,0.305908
0,12,1, cat,2, sat,0.000000
0,12,1, cat,3, on,0.000000
0,12,1, cat,4, the,0.000000
0,12,2, sat,0,The,0.402100
0,12,2, sat,1, cat,0.250000
0,12,2, sat,2, sat,0.347900
0,12,2, sat,3, on,0.000000
0,12,2, sat,4, the,0.000000
0,12,3, on,0,The,0.286377
0,12,3, on,1, cat,0.246460
0,12,3, on,2, sat,0.250977
0,12,3, on,3, on,0.216187
0,12,3, on,4, the,0.000000
0,12,4, the,0,The,0.233032
0,12,4, the,1, cat,0.194336
0,12,4, the,2, sat,0.203857
0,12,4, the,3, on,0.145996
0,12,4, the,4, the,0.222778
0,13,0,The,0,The,1.000000
0,13,0,The,1, cat,0.000000
0,13,0,The,2, sat,0.000000
0,13,0,The,3, on,0.000000
0,13,0,The,4, the,0.000000
0,13,1, cat,0,The,0.694336
0,13,1, cat,1, cat,0.305420
0,13,1, cat,2, sat,0.000000
0,13,1, cat,3, on,0.000000
0,13,1, cat,4, the,0.000000
0,13,2, sat,0,The,0.592773
0,13,2, sat,1, cat,0.253662
0,13,2, sat,2, sat,0.153687
0,13,2, sat,3, on,0.000000
0,13,2, sat,4, the,0.000000
0,13,3, on,0,The,0.320801
0,13,3, on,1, cat,0.265381
0,13,3, on,2, sat,0.185547
0,13,3, on,3, on,0.228394
0,13,3, on,4, the,0.000000
0,13,4, the,0,The,0.283447
0,13,4, the,1, cat,0.209595
0,13,4, the,2, sat,0.142822
0,13,4, the,3, on,0.189209
0,13,4, the,4, the,0.174927
0,14,0,The,0,The,1.000000
0,14,0,The,1, cat,0.000000
0,14,0,The,2, sat,0.000000
0,14,0,The,3, on,0.000000
0,14,0,The,4, the,0.000000
0,14,1, cat,0,The,0.781250
0,14,1, cat,1, cat,0.218994
0,14,1, cat,2, sat,0.000000
0,14,1, cat,3, on,0.000000
0,14,1, cat,4, the,0.000000
0,14,2, sat,0,The,0.492920
0,14,2, sat,1, cat,0.255127
0,14,2, sat,2, sat,0.251953
0,14,2, sat,3, on,0.000000
0,14,2, sat,4, the,0.000000
0,14,3, on,0,The,0.397949
0,14,3, on,1, cat,0.173584
0,14,3, on,2, sat,0.164429
0,14,3, on,3, on,0.263916
0,14,3, on,4, the,0.000000
0,14,4, the,0,The,0.246826
0,14,4, the,1, cat,0.156006
0,14,4, the,2, sat,0.181641
0,14,4, the,3, on,0.203247
0,14,4, the,4, the,0.212402
0,15,0,The,0,The,1.000000
0,15,0,The,1, cat,0.000000
0,15,0,The,2, sat,0.000000
0,15,0,The,3, on,0.000000
0,15,0,The,4, the,0.000000
0,15,1, cat,0,The,0.580566
0,15,1, cat,1, cat,0.419189
0,15,1, cat,2, sat,0.000000
0,15,1, cat,3, on,0.000000
0,15,1, cat,4, the,0.000000
0,15,2, sat,0,The,0.381348
0,15,2, sat,1, cat,0.260498
0,15,2, sat,2, sat,0.358154
0,15,2, sat,3, on,0.000000
0,15,2, sat,4, the,0.000000
0,15,3, on,0,The,0.251465
0,15,3, on,1, cat,0.243774
0,15,3, on,2, sat,0.268799
0,15,3, on,3, on,0.236084
0,15,3, on,4, the,0.000000
0,15,4, the,0,The,0.218140
0,15,4, the,1, cat,0.229980
0,15,4, the,2, sat,0.219727
0,15,4, the,3, on,0.149536
0,15,4, the,4, the,0.182495
0,16,0,The,0,The,1.000000
0,16,0,The,1, cat,0.000000
0,16,0,The,2, sat,0.000000
0,16,0,The,3, on,0.000000
0,16,0,The,4, the,0.000000
0,16,1, cat,0,The,0.678711
0,16,1, cat,1, cat,0.321045
0,16,1, cat,2, sat,0.000000
0,16,1, cat,3, on,0.000000
0,16,1, cat,4, the,0.000000
0,16,2, sat,0,The,0.506836
0,16,2, sat,1, cat,0.188843
0,16,2, sat,2, sat,0.304443
0,16,2, sat,3, on,0.000000
0,16,2, sat,4, the,0.000000
0,16,3, on,0,The,0.345947
0,16,3, on,1, cat,0.213867
0,16,3, on,2, sat,0.234009
0,16,3, on,3, on,0.206299
0,16,3, on,4, the,0.000000
0,16,4, the,0,The,0.281006
0,16,4, the,1, cat,0.157715
0,16,4, the,2, sat,0.170166
0,16,4, the,3, on,0.196411
0,16,4, the,4, the,0.194702
0,17,0,The,0,The,1.000000
0,17,0,The,1, cat,0.000000
0,17,0,The,2, sat,0.000000
0,17,0,The,3, on,0.000000
0,17,0,The,4, the,0.000000
0,17,1, cat,0,The,0.765625
0,17,1, cat,1, cat,0.234375
0,17,1, cat,2, sat,0.000000
