layer,head,score,pattern_score,ablation_baseline_nll,ablation_nll,ablation_delta_nll,pattern_pct,ablation_pct,combined_pct
3,10,0.117737,0.117737,3.725615,3.739860,0.014245,0.369958,0.961057,0.369958
3,11,0.165527,0.165527,3.725615,3.724560,-0.001055,0.692629,0.183588,0.183588
3,12,0.128540,0.128540,3.725615,3.784328,0.058713,0.442281,0.995828,0.442281
3,13,0.150146,0.150146,3.725615,3.723993,-0.001622,0.606398,0.144645,0.144645
3,14,0.150146,0.150146,3.725615,3.725610,-0.000005,0.605007,0.407510,0.407510
3,15,0.167603,0.167603,3.725615,3.726487,0.000872,0.709319,0.757997,0.709319
3,16,0.098633,0.098633,3.725615,3.775299,0.049684,0.226704,0.993046,0.226704
3,17,0.142822,0.142822,3.725615,3.728463,0.002848,0.559110,0.855355,0.559110
3,18,0.131592,0.131592,3.725615,3.727098,0.001483,0.464534,0.802503,0.464534
3,19,0.153931,0.153931,3.725615,3.726750,0.001135,0.628651,0.784423,0.628651
4,0,0.326172,0.326172,3.725615,3.709525,-0.016090,0.965230,0.016690,0.016690
4,1,0.215820,0.215820,3.725615,3.716306,-0.009309,0.884562,0.044506,0.044506
4,2,0.363037,0.363037,3.725615,3.706923,-0.018692,0.976356,0.009736,0.009736
4,3,0.198242,0.198242,3.725615,3.721985,-0.003630,0.840056,0.089013,0.089013
4,4,0.210327,0.210327,3.725615,3.711292,-0.014323,0.867872,0.020862,0.020862
4,5,0.167969,0.167969,3.725615,3.710749,-0.014866,0.710709,0.019471,0.019471
4,6,0.149292,0.149292,3.725615,3.718471,-0.007144,0.599444,0.058414,0.058414
4,7,0.230835,0.230835,3.725615,3.721886,-0.003729,0.910987,0.086231,0.086231
4,8,0.212280,0.212280,3.725615,3.725091,-0.000524,0.874826,0.230876,0.230876
4,9,0.144287,0.144287,3.725615,3.719384,-0.006231,0.571627,0.063978,0.063978
4,10,0.259277,0.259277,3.725615,3.713560,-0.012055,0.940195,0.030598,0.030598
4,11,0.184204,0.184204,3.725615,3.712509,-0.013106,0.802503,0.029207,0.029207
4,12,0.103516,0.103516,3.725615,3.730040,0.004425,0.264256,0.885953,0.264256
4,13,0.348145,0.348145,3.725615,3.709523,-0.016092,0.972184,0.015299,0.015299
4,14,0.195923,0.195923,3.725615,3.714755,-0.010860,0.833102,0.036161,0.036161
4,15,0.102478,0.102478,3.725615,3.722847,-0.002768,0.255911,0.111266,0.111266
4,16,0.141724,0.141724,3.725615,3.730561,0.004946,0.546592,0.890125,0.546592
4,17,0.245728,0.245728,3.725615,3.705357,-0.020258,0.922114,0.008345,0.008345
4,18,0.089661,0.089661,3.725615,3.725957,0.000342,0.173853,0.689847,0.173853
4,19,0.225830,0.225830,3.725615,3.711953,-0.013662,0.895688,0.025035,0.025035
5,0,0.178101,0.178101,3.725615,3.726074,0.000459,0.767733,0.712100,0.712100
5,1,0.436523,0.436523,3.725615,3.733545,0.007930,0.987483,0.923505,0.923505
5,2,0.131958,0.131958,3.725615,3.724967,-0.000648,0.467316,0.212796,0.212796
5,3,0.751953,0.751953,3.725615,3.727442,0.001827,0.995828,0.815021,0.815021
5,4,0.110474,0.110474,3.725615,3.732051,0.006436,0.321280,0.909597,0.321280
5,5,0.159302,0.159302,3.725615,3.721076,-0.004539,0.662031,0.077886,0.077886
5,6,0.261719,0.261719,3.725615,3.725810,0.000195,0.942976,0.650904,0.650904
5,7,0.158569,0.158569,3.725615,3.733238,0.007623,0.659249,0.917942,0.659249
5,8,0.229248,0.229248,3.725615,3.724964,-0.000651,0.905424,0.210014,0.210014
5,9,0.067566,0.067566,3.725615,3.752475,0.026860,0.036161,0.977747,0.036161
5,10,0.137573,0.137573,3.725615,3.724768,-0.000847,0.504868,0.193324,0.193324
5,11,0.252441,0.252441,3.725615,3.734065,0.008450,0.934631,0.929068,0.929068
5,12,0.332764,0.332764,3.725615,3.722198,-0.003417,0.966620,0.094576,0.094576
