layer,head,score
15,10,0.048309
15,11,0.011253
15,12,0.048523
15,13,0.003553
15,14,0.030228
15,15,0.035065
15,16,0.058319
15,17,0.030518
15,18,0.042664
15,19,0.027695
16,0,0.051361
16,1,0.005959
16,2,0.025421
16,3,0.030334
16,4,0.010612
16,5,0.007027
16,6,0.017914
16,7,0.008972
16,8,0.043854
16,9,0.039764
16,10,0.033234
16,11,0.048187
16,12,0.012909
16,13,0.036926
16,14,0.043884
16,15,0.027603
16,16,0.017838
16,17,0.012764
16,18,0.037079
16,19,0.024506
17,0,0.022461
17,1,0.013847
17,2,0.066162
17,3,0.025772
17,4,0.010880
17,5,0.009529
17,6,0.068542
17,7,0.043915
17,8,0.013954
17,9,0.039520
17,10,0.035828
17,11,0.015991
17,12,0.026428
17,13,0.028275
17,14,0.039093
17,15,0.050018
17,16,0.042664
17,17,0.055176
17,18,0.046967
17,19,0.016891
18,0,0.038879
18,1,0.029160
18,2,0.000005
18,3,0.000242
18,4,0.001046
18,5,0.006321
18,6,0.030762
18,7,0.045990
18,8,0.013809
18,9,0.017395
18,10,0.048584
18,11,0.034088
18,12,0.041077
18,13,0.042816
18,14,0.015579
18,15,0.010803
18,16,0.018753
18,17,0.002621
18,18,0.018738
18,19,0.043945
19,0,0.000001
19,1,0.000000
19,2,0.040009
19,3,0.044464
19,4,0.041260
19,5,0.040009
19,6,0.040009
19,7,0.040009
19,8,0.040009
19,9,0.040009
19,10,0.043304
19,11,0.036835
19,12,0.010681
19,13,0.038971
19,14,0.000000
19,15,0.036804
19,16,0.044189
19,17,0.053528
19,18,0.040009
19,19,0.018051
20,0,0.000467
20,1,0.039185
20,2,0.039581
20,3,0.042938
20,4,0.000002
20,5,0.040070
20,6,0.011963
20,7,0.007530
20,8,0.053619
20,9,0.040009
20,10,0.000000
20,11,0.041656
20,12,0.000966
20,13,0.039948
20,14,0.040039
20,15,0.013405
20,16,0.009094
20,17,0.042725
20,18,0.041473
20,19,0.037476
21,0,0.039764
21,1,0.002707
21,2,0.011482
21,3,0.042816
21,4,0.042816
21,5,0.000614
21,6,0.001084
21,7,0.000181
21,8,0.031097
21,9,0.059540
21,10,0.068420
21,11,0.062988
21,12,0.056000
21,13,0.002031
21,14,0.000000
21,15,0.000219
21,16,0.001570
21,17,0.056152
21,18,0.040009
21,19,0.056824
22,0,0.008698
22,1,0.000001
22,2,0.041504
22,3,0.027222
22,4,0.040497
22,5,0.042145
22,6,0.022705
22,7,0.000000
22,8,0.017685
22,9,0.008423
22,10,0.006012
22,11,0.037659
22,12,0.025970
22,13,0.037262
22,14,0.037750
22,15,0.028885
22,16,0.028717
22,17,0.000024
22,18,0.000005
22,19,0.018112
23,0,0.041870
23,1,0.003658
23,2,0.001122
23,3,0.042999
23,4,0.021240
23,5,0.017578
23,6,0.043304
23,7,0.044861
23,8,0.048615
23,9,0.040955
23,10,0.045837
23,11,0.044128
23,12,0.041718
23,13,0.041168
23,14,0.035309
23,15,0.047821
23,16,0.040924
23,17,0.040527
23,18,0.041656
23,19,0.048950
24,0,0.035248
24,1,0.017868
24,2,0.005955
24,3,0.062683
24,4,0.022736
24,5,0.045197
24,6,0.001837
24,7,0.028122
24,8,0.040344
24,9,0.040894
24,10,0.052704
24,11,0.071716
24,12,0.034149
24,13,0.023422
24,14,0.003775
24,15,0.052216
24,16,0.087891
24,17,0.007904
24,18,0.004368
24,19,0.028976
25,0,0.017212
25,1,0.020691
25,2,0.036804
25,3,0.016663
25,4,0.039825
25,5,0.026077
25,6,0.027405
25,7,0.040314
25,8,0.040009
25,9,0.032471
25,10,0.044647
25,11,0.011574
25,12,0.031189
25,13,0.062103
25,14,0.036041
25,15,0.012146
25,16,0.022354
25,17,0.023499
25,18,0.035431
25,19,0.042572
26,0,0.045593
26,1,0.025284
26,2,0.042664
26,3,0.045044
26,4,0.043182
26,5,0.042694
26,6,0.046356
26,7,0.043549
26,8,0.047943
26,9,0.002096
26,10,0.045471
26,11,0.042969
26,12,0.041168
26,13,0.045135
26,14,0.045929
26,15,0.007156
26,16,0.046783
26,17,0.003460
26,18,0.004684
26,19,0.045593
27,0,0.039154
27,1,0.040070
27,2,0.009689
27,3,0.012306
27,4,0.000002
27,5,0.028549
27,6,0.037231
27,7,0.037231
27,8,0.033875
27,9,0.046021
27,10,0.038055
27,11,0.027710
27,12,0.000064
27,13,0.032532
27,14,0.037872
27,15,0.038757
27,16,0.005573
27,17,0.040588
27,18,0.010651
27,19,0.039825
28,0,0.002216
28,1,0.009567
28,2,0.017593
28,3,0.003967
28,4,0.000857
28,5,0.000175
28,6,0.039062
28,7,0.000042
28,8,0.014328
28,9,0.033508
28,10,0.007484
28,11,0.001265
28,12,0.008438
28,13,0.018814
28,14,0.027206
28,15,0.036316
28,16,0.000584
28,17,0.011482
28,18,0.000036
28,19,0.000606
29,0,0.016373
29,1,0.000036
29,2,0.042145
29,3,0.037231
29,4,0.018204
29,5,0.002134
29,6,0.013466
29,7,0.000000
29,8,0.023941
29,9,0.008881
29,10,0.037323
29,11,0.000193
29,12,0.000001
29,13,0.026077
29,14,0.017731
29,15,0.040741
29,16,0.000003
29,17,0.000000
29,18,0.000648
29,19,0.005772
30,0,0.037598
30,1,0.045380
30,2,0.035431
30,3,0.010841
30,4,0.049225
30,5,0.025681
30,6,0.057800
30,7,0.072021
30,8,0.035675
30,9,0.013298
30,10,0.029709
30,11,0.059570
30,12,0.063721
30,13,0.030151
30,14,0.022980
30,15,0.012314
30,16,0.069092
30,17,0.050049
30,18,0.014557
30,19,0.018250
31,0,0.016937
31,1,0.033447
31,2,0.024841
31,3,0.038666
31,4,0.025970
31,5,0.012848
31,6,0.030167
31,7,0.017426
31,8,0.005569
31,9,0.017685
31,10,0.032379
31,11,0.026428
31,12,0.034363
31,13,0.029221
31,14,0.024216
31,15,0.041229
31,16,0.015083
31,17,0.058319
31,18,0.024094
31,19,0.011513
32,0,0.040100
32,1,0.000000
32,2,0.000056
32,3,0.000004
32,4,0.000057
32,5,0.000200
32,6,0.000448
32,7,0.000096
32,8,0.000000
32,9,0.033386
32,10,0.042480
32,11,0.000045
32,12,0.040283
32,13,0.000592
32,14,0.007866
32,15,0.039429
32,16,0.000545
32,17,0.000515
32,18,0.000197
32,19,0.000609
33,0,0.032257
33,1,0.051880
33,2,0.017502
33,3,0.039856
33,4,0.022247
33,5,0.022324
33,6,0.019775
33,7,0.013847
33,8,0.038147
33,9,0.029282
33,10,0.012932
33,11,0.025955
33,12,0.016006
33,13,0.051514
33,14,0.032867
33,15,0.024857
33,16,0.024109
33,17,0.019363
33,18,0.019302
33,19,0.030853
34,0,0.024673
34,1,0.018097
34,2,0.036163
34,3,0.020248
34,4,0.074036
34,5,0.016922
34,6,0.016663
34,7,0.023560
34,8,0.018082
34,9,0.030029
34,10,0.030502
34,11,0.018478
34,12,0.026123
34,13,0.019669
34,14,0.043854
34,15,0.023605
34,16,0.030807
34,17,0.022644
34,18,0.015503
34,19,0.024582
35,0,0.020584
35,1,0.017670
35,2,0.020889
35,3,0.010033
35,4,0.019836
35,5,0.022141
35,6,0.016327
35,7,0.006912
35,8,0.020172
35,9,0.026169
35,10,0.015396
35,11,0.014427
35,12,0.015472
35,13,0.016830
35,14,0.007851
35,15,0.019409
35,16,0.012131
35,17,0.014252
35,18,0.013130
35,19,0.023117
