detector,model,n_heads,median_stripe_mass,mean_stripe_mass,max_stripe_mass,n_above_0.3,n_above_0.5,n_above_0.8
induction,residual,720,0.020180702209472656,0.05712628364562988,0.897216796875,37,23,6
induction,mhc,720,0.029748205095529556,0.05102934315800667,0.92047119140625,22,14,4
induction,mhc_lite,720,0.027786176651716232,0.05020107701420784,0.8977101445198059,21,18,4
prev_token,residual,720,0.1288987100124359,0.1434604525566101,0.9893624186515808,17,5,2
prev_token,mhc,720,0.1367979645729065,0.1508268266916275,0.9157082438468933,28,7,2
prev_token,mhc_lite,720,0.1375049501657486,0.15173912048339844,0.997314453125,24,5,2
