detector,model,layer,head,stripe_mass,off_stripe_mean,stripe_to_off_ratio
induction,residual,18,16,0.897216796875,0.011435085907578468,78.46174520476319
induction,mhc,7,17,0.92047119140625,0.011217977851629257,82.05321882254957
induction,mhc_lite,8,5,0.8397725224494934,0.011970151215791702,70.15554835611583
prev_token,residual,15,12,0.9893624186515808,0.005447071511298418,181.6319863984577
prev_token,mhc,7,1,0.4850837290287018,0.03890293464064598,12.469078065948368
prev_token,mhc_lite,7,14,0.997314453125,0.004920073784887791,202.70314973492722
