head_type,model,rank,layer,head,score
induction,mhc,2,7,8,0.85986328125
induction,mhc,3,7,3,0.853515625
induction,mhc,4,9,5,0.81982421875
induction,mhc,5,9,11,0.79931640625
induction,mhc,6,9,8,0.79638671875
induction,mhc,7,9,19,0.76806640625
induction,mhc,8,9,1,0.7431640625
induction,mhc,9,9,10,0.73193359375
induction,mhc,10,9,3,0.73046875
induction,mhc,11,9,0,0.72509765625
induction,mhc,12,9,14,0.6923828125
induction,mhc,13,7,15,0.6171875
induction,mhc,14,10,13,0.61083984375
induction,mhc,15,9,16,0.44921875
induction,mhc,16,9,18,0.414306640625
induction,mhc,17,10,1,0.40087890625
induction,mhc,18,9,13,0.385986328125
induction,mhc,19,7,19,0.369140625
induction,mhc,20,10,9,0.3623046875
induction,mhc_lite,1,9,7,0.89794921875
induction,mhc_lite,2,9,14,0.8408203125
induction,mhc_lite,3,8,5,0.83984375
induction,mhc_lite,4,9,8,0.82080078125
induction,mhc_lite,5,9,0,0.79345703125
induction,mhc_lite,6,8,8,0.78515625
induction,mhc_lite,7,9,11,0.771484375
induction,mhc_lite,8,10,5,0.734375
induction,mhc_lite,9,9,16,0.72509765625
induction,mhc_lite,10,10,19,0.67138671875
induction,mhc_lite,11,10,1,0.66748046875
induction,mhc_lite,12,10,0,0.638671875
induction,mhc_lite,13,10,7,0.62548828125
induction,mhc_lite,14,8,16,0.6201171875
induction,mhc_lite,15,9,5,0.60791015625
induction,mhc_lite,16,9,1,0.60693359375
induction,mhc_lite,17,10,9,0.56201171875
induction,mhc_lite,18,9,10,0.50048828125
induction,mhc_lite,19,8,0,0.4384765625
induction,mhc_lite,20,9,19,0.4228515625
duplicate,residual,1,5,11,0.87548828125
duplicate,residual,2,4,5,0.398193359375
duplicate,residual,3,3,0,0.336181640625
duplicate,residual,4,3,4,0.301025390625
duplicate,residual,5,3,19,0.300537109375
duplicate,residual,6,3,14,0.2158203125
duplicate,residual,7,3,12,0.1932373046875
duplicate,residual,8,3,1,0.1502685546875
duplicate,residual,9,4,12,0.148193359375
duplicate,residual,10,5,4,0.1103515625
duplicate,residual,11,6,5,0.10931396484375
duplicate,residual,12,18,7,0.100830078125
duplicate,residual,13,16,9,0.09600830078125
duplicate,residual,14,3,2,0.09332275390625
duplicate,residual,15,17,13,0.08905029296875
duplicate,residual,16,3,17,0.0885009765625
duplicate,residual,17,3,8,0.08245849609375
duplicate,residual,18,3,10,0.08209228515625
duplicate,residual,19,18,19,0.06964111328125
duplicate,residual,20,4,7,0.0667724609375
duplicate,mhc,1,1,17,0.478271484375
duplicate,mhc,2,7,15,0.1578369140625
duplicate,mhc,3,1,3,0.117431640625
duplicate,mhc,4,1,2,0.10552978515625
duplicate,mhc,5,24,16,0.087890625
duplicate,mhc,6,14,11,0.0806884765625
duplicate,mhc,7,34,4,0.07403564453125
duplicate,mhc,8,30,7,0.072021484375
duplicate,mhc,9,24,11,0.07171630859375
duplicate,mhc,10,30,16,0.069091796875
duplicate,mhc,11,17,6,0.06854248046875
duplicate,mhc,12,21,10,0.06842041015625
duplicate,mhc,13,17,2,0.066162109375
duplicate,mhc,14,30,12,0.063720703125
duplicate,mhc,15,21,11,0.06298828125
duplicate,mhc,16,24,3,0.06268310546875
duplicate,mhc,17,25,13,0.062103271484375
duplicate,mhc,18,15,7,0.05963134765625
duplicate,mhc,19,30,11,0.0595703125
duplicate,mhc,20,21,9,0.059539794921875
duplicate,mhc_lite,1,2,18,0.8681640625
duplicate,mhc_lite,2,1,0,0.385986328125
duplicate,mhc_lite,3,1,15,0.38525390625
duplicate,mhc_lite,4,1,3,0.380859375
duplicate,mhc_lite,5,1,14,0.36181640625
duplicate,mhc_lite,6,1,11,0.339599609375
duplicate,mhc_lite,7,1,10,0.31591796875
duplicate,mhc_lite,8,1,16,0.26220703125
duplicate,mhc_lite,9,8,16,0.17724609375
duplicate,mhc_lite,10,1,18,0.1417236328125
duplicate,mhc_lite,11,1,12,0.11785888671875
duplicate,mhc_lite,12,1,2,0.0767822265625
duplicate,mhc_lite,13,1,7,0.070556640625
duplicate,mhc_lite,14,15,13,0.07037353515625
duplicate,mhc_lite,15,20,9,0.0655517578125
duplicate,mhc_lite,16,27,6,0.065185546875
duplicate,mhc_lite,17,27,2,0.0648193359375
duplicate,mhc_lite,18,25,18,0.06280517578125
duplicate,mhc_lite,19,15,2,0.062744140625
duplicate,mhc_lite,20,15,0,0.059478759765625
successor,residual,1,16,17,0.7880693078041077
successor,residual,2,15,12,0.5436193346977234
successor,residual,3,5,11,0.5430295467376709
successor,residual,4,21,19,0.37840256094932556
successor,residual,5,14,0,0.3106224536895752
successor,residual,6,0,6,0.27072182297706604
successor,residual,7,20,14,0.21381092071533203
successor,residual,8,18,5,0.21045033633708954
successor,residual,9,0,3,0.20276379585266113
