model,layer,metric,value
mhc,23,kl_to_final,0.590601
mhc,24,kl_to_final,0.420532
mhc,25,kl_to_final,0.382203
mhc,26,kl_to_final,0.194320
mhc,27,kl_to_final,0.191067
mhc,28,kl_to_final,0.192242
mhc,29,kl_to_final,0.135485
mhc,30,kl_to_final,0.094338
mhc,31,kl_to_final,0.086346
mhc,32,kl_to_final,0.088209
mhc,33,kl_to_final,0.084067
mhc,34,kl_to_final,0.025378
mhc,35,kl_to_final,0.000000
mhc,0,top1_acc,0.153261
mhc,1,top1_acc,0.073390
mhc,2,top1_acc,0.042863
mhc,3,top1_acc,0.044377
mhc,4,top1_acc,0.041571
mhc,5,top1_acc,0.054149
mhc,6,top1_acc,0.075389
mhc,7,top1_acc,0.161599
mhc,8,top1_acc,0.202847
mhc,9,top1_acc,0.259156
mhc,10,top1_acc,0.274500
mhc,11,top1_acc,0.282718
mhc,12,top1_acc,0.289178
mhc,13,top1_acc,0.300727
mhc,14,top1_acc,0.315930
mhc,15,top1_acc,0.328104
mhc,16,top1_acc,0.334545
mhc,17,top1_acc,0.336544
mhc,18,top1_acc,0.336362
mhc,19,top1_acc,0.339047
mhc,20,top1_acc,0.335918
mhc,21,top1_acc,0.340198
mhc,22,top1_acc,0.354028
mhc,23,top1_acc,0.355805
mhc,24,top1_acc,0.360125
mhc,25,top1_acc,0.362730
mhc,26,top1_acc,0.367091
mhc,27,top1_acc,0.368060
mhc,28,top1_acc,0.367676
mhc,29,top1_acc,0.371553
mhc,30,top1_acc,0.374500
mhc,31,top1_acc,0.374985
mhc,32,top1_acc,0.375631
mhc,33,top1_acc,0.375974
mhc,34,top1_acc,0.380497
mhc,35,top1_acc,0.380981
mhc,0,mean_logp_true,-11.132224
mhc,1,mean_logp_true,-10.401621
mhc,2,mean_logp_true,-10.153693
mhc,3,mean_logp_true,-10.311637
mhc,4,mean_logp_true,-10.267003
mhc,5,mean_logp_true,-9.798058
mhc,6,mean_logp_true,-8.986253
mhc,7,mean_logp_true,-7.966706
mhc,8,mean_logp_true,-7.697115
mhc,9,mean_logp_true,-7.347867
mhc,10,mean_logp_true,-7.037327
mhc,11,mean_logp_true,-6.693292
mhc,12,mean_logp_true,-6.448163
mhc,13,mean_logp_true,-6.195698
mhc,14,mean_logp_true,-5.980357
mhc,15,mean_logp_true,-5.866359
mhc,16,mean_logp_true,-5.855931
mhc,17,mean_logp_true,-5.571183
mhc,18,mean_logp_true,-5.153073
mhc,19,mean_logp_true,-5.148151
mhc,20,mean_logp_true,-5.117330
mhc,21,mean_logp_true,-5.105444
mhc,22,mean_logp_true,-4.483254
mhc,23,mean_logp_true,-4.439314
mhc,24,mean_logp_true,-4.287460
mhc,25,mean_logp_true,-4.254448
mhc,26,mean_logp_true,-4.056785
mhc,27,mean_logp_true,-4.054395
mhc,28,mean_logp_true,-4.053746
mhc,29,mean_logp_true,-3.987351
mhc,30,mean_logp_true,-3.946596
mhc,31,mean_logp_true,-3.935216
mhc,32,mean_logp_true,-3.936314
mhc,33,mean_logp_true,-3.927547
mhc,34,mean_logp_true,-3.855910
mhc,35,mean_logp_true,-3.833135
mhc,0,entropy,1.730392
mhc,1,entropy,3.244179
mhc,2,entropy,4.551078
mhc,3,entropy,4.910778
mhc,4,entropy,5.880106
mhc,5,entropy,5.746879
mhc,6,entropy,6.067952
mhc,7,entropy,4.950568
mhc,8,entropy,3.851460
mhc,9,entropy,2.671099
mhc,10,entropy,2.261001
mhc,11,entropy,1.908447
mhc,12,entropy,1.863083
mhc,13,entropy,1.679381
mhc,14,entropy,1.523401
mhc,15,entropy,1.458655
mhc,16,entropy,1.383571
mhc,17,entropy,1.687306
mhc,18,entropy,2.152724
mhc,19,entropy,2.031457
mhc,20,entropy,2.077802
mhc,21,entropy,1.926125
mhc,22,entropy,2.530693
mhc,23,entropy,2.559932
mhc,24,entropy,2.757314
mhc,25,entropy,2.743921
mhc,26,entropy,3.107450
mhc,27,entropy,3.088219
mhc,28,entropy,3.072458
mhc,29,entropy,3.182001
mhc,30,entropy,3.285843
mhc,31,entropy,3.293532
mhc,32,entropy,3.238776
mhc,33,entropy,3.223111
mhc,34,entropy,3.526192
mhc,35,entropy,3.722247
mhc_lite,0,kl_to_final,9.125391
mhc_lite,1,kl_to_final,7.596711
mhc_lite,2,kl_to_final,6.767936
mhc_lite,3,kl_to_final,6.271296
mhc_lite,4,kl_to_final,5.718552
mhc_lite,5,kl_to_final,5.137239
mhc_lite,6,kl_to_final,4.751808
mhc_lite,7,kl_to_final,4.511468
mhc_lite,8,kl_to_final,3.799977
mhc_lite,9,kl_to_final,3.284663
mhc_lite,10,kl_to_final,3.058936
mhc_lite,11,kl_to_final,3.077214
mhc_lite,12,kl_to_final,2.908386
mhc_lite,13,kl_to_final,2.602835
mhc_lite,14,kl_to_final,2.332465
mhc_lite,15,kl_to_final,2.153182
mhc_lite,16,kl_to_final,2.054435
mhc_lite,17,kl_to_final,1.842923
mhc_lite,18,kl_to_final,1.557448
mhc_lite,19,kl_to_final,1.415610
mhc_lite,20,kl_to_final,2.751440
mhc_lite,21,kl_to_final,2.766835
mhc_lite,22,kl_to_final,2.939993
mhc_lite,23,kl_to_final,2.131914
mhc_lite,24,kl_to_final,2.488820
mhc_lite,25,kl_to_final,2.407504
mhc_lite,26,kl_to_final,2.327644
mhc_lite,27,kl_to_final,2.318899
mhc_lite,28,kl_to_final,2.381776
mhc_lite,29,kl_to_final,2.376362
mhc_lite,30,kl_to_final,2.741681
mhc_lite,31,kl_to_final,2.480933
mhc_lite,32,kl_to_final,2.411993
mhc_lite,33,kl_to_final,2.862914
mhc_lite,34,kl_to_final,0.408487
mhc_lite,35,kl_to_final,0.000000
mhc_lite,0,top1_acc,0.151020
mhc_lite,1,top1_acc,0.138159
mhc_lite,2,top1_acc,0.073026
mhc_lite,3,top1_acc,0.066041
mhc_lite,4,top1_acc,0.054391
mhc_lite,5,top1_acc,0.071290
mhc_lite,6,top1_acc,0.092146
mhc_lite,7,top1_acc,0.088855
mhc_lite,8,top1_acc,0.177832
mhc_lite,9,top1_acc,0.230789
mhc_lite,10,top1_acc,0.265354
mhc_lite,11,top1_acc,0.279083
mhc_lite,12,top1_acc,0.290652
mhc_lite,13,top1_acc,0.299697
mhc_lite,14,top1_acc,0.306743
mhc_lite,15,top1_acc,0.311993
mhc_lite,16,top1_acc,0.317262
mhc_lite,17,top1_acc,0.323380
mhc_lite,18,top1_acc,0.315950
mhc_lite,19,top1_acc,0.317706
mhc_lite,20,top1_acc,0.261296
mhc_lite,21,top1_acc,0.258328
mhc_lite,22,top1_acc,0.252312
mhc_lite,23,top1_acc,0.264345
mhc_lite,24,top1_acc,0.246033
mhc_lite,25,top1_acc,0.246760
mhc_lite,26,top1_acc,0.247870
mhc_lite,27,top1_acc,0.243953
mhc_lite,28,top1_acc,0.243994
mhc_lite,29,top1_acc,0.243812
mhc_lite,30,top1_acc,0.233030
mhc_lite,31,top1_acc,0.235938
mhc_lite,32,top1_acc,0.236766
mhc_lite,33,top1_acc,0.226186
mhc_lite,34,top1_acc,0.338058
mhc_lite,35,top1_acc,0.385524
mhc_lite,0,mean_logp_true,-12.889347
mhc_lite,1,mean_logp_true,-11.429822
mhc_lite,2,mean_logp_true,-10.583323
mhc_lite,3,mean_logp_true,-10.118123
mhc_lite,4,mean_logp_true,-9.590204
mhc_lite,5,mean_logp_true,-9.021385
mhc_lite,6,mean_logp_true,-8.637674
mhc_lite,7,mean_logp_true,-8.383038
mhc_lite,8,mean_logp_true,-7.641725
mhc_lite,9,mean_logp_true,-7.138961
mhc_lite,10,mean_logp_true,-6.900740
mhc_lite,11,mean_logp_true,-6.949593
mhc_lite,12,mean_logp_true,-6.771100
mhc_lite,13,mean_logp_true,-6.455431
mhc_lite,14,mean_logp_true,-6.178911
mhc_lite,15,mean_logp_true,-6.011925
mhc_lite,16,mean_logp_true,-5.917579
mhc_lite,17,mean_logp_true,-5.707480
mhc_lite,18,mean_logp_true,-5.411089
mhc_lite,19,mean_logp_true,-5.259008
mhc_lite,20,mean_logp_true,-6.546299
mhc_lite,21,mean_logp_true,-6.570964
mhc_lite,22,mean_logp_true,-6.737299
mhc_lite,23,mean_logp_true,-5.928625
mhc_lite,24,mean_logp_true,-6.285579
mhc_lite,25,mean_logp_true,-6.206750
mhc_lite,26,mean_logp_true,-6.124607
mhc_lite,27,mean_logp_true,-6.106070
mhc_lite,28,mean_logp_true,-6.160375
mhc_lite,29,mean_logp_true,-6.158945
mhc_lite,30,mean_logp_true,-6.509596
mhc_lite,31,mean_logp_true,-6.246937
mhc_lite,32,mean_logp_true,-6.175501
mhc_lite,33,mean_logp_true,-6.619577
mhc_lite,34,mean_logp_true,-4.211366
mhc_lite,35,mean_logp_true,-3.808440
mhc_lite,0,entropy,1.225177
mhc_lite,1,entropy,2.228839
mhc_lite,2,entropy,3.151101
mhc_lite,3,entropy,3.681153
mhc_lite,4,entropy,4.111706
mhc_lite,5,entropy,4.272043
mhc_lite,6,entropy,4.667010
mhc_lite,7,entropy,4.884575
mhc_lite,8,entropy,4.248984
mhc_lite,9,entropy,3.023353
mhc_lite,10,entropy,2.591879
mhc_lite,11,entropy,1.983478
mhc_lite,12,entropy,1.854170
mhc_lite,13,entropy,1.813318
mhc_lite,14,entropy,1.825850
mhc_lite,15,entropy,1.799039
mhc_lite,16,entropy,1.728970
mhc_lite,17,entropy,1.772193
mhc_lite,18,entropy,2.135651
mhc_lite,19,entropy,2.334509
mhc_lite,20,entropy,4.144313
mhc_lite,21,entropy,4.319895
mhc_lite,22,entropy,4.481945
mhc_lite,23,entropy,5.171348
mhc_lite,24,entropy,5.777962
mhc_lite,25,entropy,5.799468
mhc_lite,26,entropy,5.796024
mhc_lite,27,entropy,5.882891
mhc_lite,28,entropy,5.909041
mhc_lite,29,entropy,5.921145
mhc_lite,30,entropy,6.422074
mhc_lite,31,entropy,6.381041
mhc_lite,32,entropy,6.312112
mhc_lite,33,entropy,6.494206
mhc_lite,34,entropy,4.627735
mhc_lite,35,entropy,3.679648
