layer,head,score,pattern_score,ablation_baseline_nll,ablation_nll,ablation_delta_nll,pattern_pct,ablation_pct,combined_pct
3,10,0.017868,0.017868,1.388672,1.212898,-0.175774,0.347705,0.006954,0.006954
3,11,0.024918,0.024918,1.388672,1.471249,0.082576,0.528512,0.936022,0.528512
3,12,0.022781,0.022781,1.388672,1.298922,-0.089750,0.458971,0.015299,0.015299
3,13,0.007725,0.007725,1.388672,1.501395,0.112722,0.165508,0.955494,0.165508
3,14,0.012314,0.012314,1.388672,1.371522,-0.017150,0.239221,0.086231,0.086231
3,15,0.018814,0.018814,1.388672,1.083678,-0.304994,0.375522,0.000000,0.000000
3,16,0.003832,0.003832,1.388672,1.356668,-0.032004,0.111266,0.052851,0.052851
3,17,0.000005,0.000005,1.388672,1.423018,0.034346,0.012517,0.880389,0.012517
3,18,0.011063,0.011063,1.388672,1.285518,-0.103154,0.212796,0.012517,0.012517
3,19,0.022446,0.022446,1.388672,1.347663,-0.041009,0.456189,0.041725,0.041725
4,0,0.014839,0.014839,1.388672,1.416234,0.027562,0.273992,0.866481,0.273992
4,1,0.006023,0.006023,1.388672,1.407313,0.018641,0.140473,0.847010,0.140473
4,2,0.000913,0.000913,1.388672,1.501761,0.113088,0.058414,0.958275,0.058414
4,3,0.001757,0.001757,1.388672,1.429338,0.040665,0.077886,0.890125,0.077886
4,4,0.002687,0.002687,1.388672,1.411465,0.022793,0.097357,0.860918,0.097357
4,5,0.000029,0.000029,1.388672,1.367523,-0.021149,0.020862,0.070932,0.020862
4,6,0.016861,0.016861,1.388672,1.448755,0.060083,0.324061,0.915160,0.324061
4,7,0.000947,0.000947,1.388672,1.372678,-0.015994,0.062587,0.089013,0.062587
4,8,0.000033,0.000033,1.388672,1.430644,0.041972,0.023644,0.891516,0.023644
4,9,0.036469,0.036469,1.388672,1.383223,-0.005449,0.788595,0.143255,0.143255
4,10,0.000255,0.000255,1.388672,1.464747,0.076074,0.038943,0.931850,0.038943
4,11,0.014458,0.014458,1.388672,1.370095,-0.018578,0.271210,0.082058,0.082058
4,12,0.002121,0.002121,1.388672,1.371852,-0.016821,0.084840,0.087622,0.084840
4,13,0.000003,0.000003,1.388672,1.423429,0.034757,0.008345,0.881780,0.008345
4,14,0.002321,0.002321,1.388672,1.500233,0.111561,0.087622,0.954103,0.087622
4,15,0.007370,0.007370,1.388672,1.388281,-0.000392,0.161335,0.292072,0.161335
4,16,0.019028,0.019028,1.388672,1.357220,-0.031453,0.378303,0.054242,0.054242
4,17,0.002747,0.002747,1.388672,1.395172,0.006500,0.100139,0.794159,0.100139
4,18,0.001650,0.001650,1.388672,1.369295,-0.019377,0.075104,0.077886,0.075104
4,19,0.001696,0.001696,1.388672,1.654095,0.265422,0.076495,0.987483,0.076495
5,0,0.001194,0.001194,1.388672,1.411961,0.023289,0.069541,0.862309,0.069541
5,1,0.000029,0.000029,1.388672,1.471412,0.082739,0.022253,0.937413,0.022253
5,2,0.000287,0.000287,1.388672,1.374580,-0.014093,0.040334,0.097357,0.040334
5,3,0.000027,0.000027,1.388672,1.384729,-0.003943,0.019471,0.173853,0.019471
5,4,0.001801,0.001801,1.388672,1.454804,0.066131,0.082058,0.922114,0.082058
5,5,0.035034,0.035034,1.388672,1.422643,0.033971,0.766342,0.878999,0.766342
5,6,0.000536,0.000536,1.388672,1.374339,-0.014334,0.048679,0.095967,0.048679
5,7,0.006081,0.006081,1.388672,1.410436,0.021764,0.143255,0.856745,0.143255
5,8,0.000923,0.000923,1.388672,1.375289,-0.013383,0.061196,0.098748,0.061196
5,9,0.034149,0.034149,1.388672,1.437499,0.048827,0.741307,0.901252,0.741307
5,10,0.000047,0.000047,1.388672,1.500217,0.111545,0.026426,0.952712,0.026426
5,11,0.000005,0.000005,1.388672,1.370532,-0.018140,0.011127,0.083449,0.011127
5,12,0.000017,0.000017,1.388672,1.545243,0.156570,0.015299,0.976356,0.015299
5,13,0.001242,0.001242,1.388672,1.564658,0.175986,0.070932,0.977747,0.070932
5,14,0.000002,0.000002,1.388672,1.445828,0.057156,0.006954,0.913769,0.006954
5,15,0.000916,0.000916,1.388672,1.418448,0.029776,0.059805,0.872045,0.059805
5,16,0.008766,0.008766,1.388672,1.490034,0.101361,0.173853,0.945758,0.173853
5,17,0.001800,0.001800,1.388672,1.519620,0.130948,0.080668,0.966620,0.080668
5,18,0.000080,0.000080,1.388672,1.439075,0.050403,0.031989,0.904033,0.031989
5,19,0.000821,0.000821,1.388672,1.676253,0.287580,0.055633,0.990264,0.055633
6,0,0.000054,0.000054,1.388672,1.425557,0.036885,0.027816,0.884562,0.027816
6,1,0.000056,0.000056,1.388672,1.461784,0.073111,0.029207,0.927677,0.029207
6,2,0.003462,0.003462,1.388672,1.389058,0.000385,0.105702,0.599444,0.105702
6,3,0.000255,0.000255,1.388672,1.384856,-0.003817,0.037552,0.176634,0.037552
6,4,0.000005,0.000005,1.388672,1.449839,0.061166,0.013908,0.916551,0.013908
6,5,0.000501,0.000501,1.388672,1.443395,0.054723,0.045897,0.909597,0.045897
6,6,0.010513,0.010513,1.388672,1.407833,0.019161,0.203060,0.851182,0.203060
6,7,0.000306,0.000306,1.388672,1.310101,-0.078572,0.041725,0.018081,0.018081
6,8,0.000004,0.000004,1.388672,1.536468,0.147796,0.009736,0.973574,0.009736
6,9,0.000021,0.000021,1.388672,1.492285,0.103612,0.016690,0.948540,0.016690
6,10,0.048096,0.048096,1.388672,1.301531,-0.087142,0.934631,0.016690,0.016690
6,11,0.004135,0.004135,1.388672,1.329691,-0.058981,0.114047,0.027816,0.027816
6,12,0.001091,0.001091,1.388672,1.410798,0.022126,0.068150,0.859527,0.068150
6,13,0.000077,0.000077,1.388672,1.433263,0.044591,0.030598,0.894298,0.030598
6,14,0.007076,0.007076,1.388672,1.394969,0.006296,0.158554,0.792768,0.158554
