iter,lr,train_mse,held_mse,l0,dead_pct,explained_variance
1,0.0,0.6251398921012878,0.6733637452125549,64.0,0.0,-186551.71586001565
100,0.0002475,0.18530642986297607,0.16726747155189514,64.0,0.0,-46339.78201641748
200,0.0004975,0.08079417794942856,0.07085057348012924,64.0,0.0,-19627.866871895305
300,0.0005,0.05589735507965088,0.04849272221326828,64.0,0.0,-13433.714113034333
400,0.0005,0.048413146287202835,0.04049541801214218,64.0,0.0,-11218.092371495492
500,0.0005,0.04257122799754143,0.035940710455179214,64.0,0.0,-9956.229126516242
600,0.0005,0.037501346319913864,0.03262733668088913,64.0,0.0,-9038.272193532704
700,0.0005,0.035874295979738235,0.03013935685157776,64.0,0.0,-8348.98776280531
800,0.0005,0.033961690962314606,0.028180360794067383,64.0,0.0,-7806.2556470084355
900,0.0005,0.031984951347112656,0.026670126244425774,64.0,0.0,-7387.851293876263
1000,0.0005,0.030153432860970497,0.025348100811243057,64.0,0.0,-7021.589211550955
1100,0.000499229718424189,0.029782995581626892,0.024289056658744812,64.0,0.0,-6728.1856209466705
1200,0.0004969236203664039,0.02817409671843052,0.02351750247180462,64.0,0.0,-6514.429365909413
1300,0.0004930959165854125,0.026850521564483643,0.02272871322929859,64.0,0.0,-6295.898531943298
1400,0.0004877701943588159,0.026713786646723747,0.022027436643838882,64.0,0.0,-6101.612602596096
1500,0.0004809792721322863,0.02598487213253975,0.02148127369582653,64.0,0.0,-5950.3005891357025
1600,0.0004727649972840147,0.024590400978922844,0.02104875259101391,64.0,0.0,-5830.472118018635
1700,0.00046317798825059524,0.02453969605267048,0.02060755155980587,64.0,9.765625145519152e-05,-5708.239109701953
1800,0.0004522773226034326,0.023850997909903526,0.02012784406542778,64.0,0.0006835937383584678,-5575.338208076593
1900,0.0004401301729978233,0.022584764286875725,0.019673608243465424,64.0,0.0010742187732830644,-5449.494335669854
2000,0.00042681139323808617,0.02278119884431362,0.019328869879245758,64.0,0.0018554687267169356,-5353.985509357511
2100,0.00041240305700951065,0.022724533453583717,0.01898408681154251,64.0,0.0021484375465661287,-5258.464846364157
2200,0.00039699395211957654,0.021878622472286224,0.01875471882522106,64.0,0.0027343749534338713,-5194.919455262407
2300,0.0003806790333650556,0.021393820643424988,0.01843404211103916,64.0,0.0033203125931322575,-5106.077047695328
2400,0.0003635588373965674,0.02117718569934368,0.018217571079730988,64.0,0.00439453125,-5046.104981495285
2500,0.0003457388631863424,0.02127489261329174,0.017963459715247154,64.0,0.0057617188431322575,-4975.704122942982
2600,0.00032732892191690506,0.020694375038146973,0.017722701653838158,64.0,0.0068359375,-4909.003410874647
2700,0.0003084424602968283,0.02020961605012417,0.01748754270374775,64.0,0.008105468936264515,-4843.853642209608
2800,0.0002891958614734579,0.020284246653318405,0.01727381721138954,64.0,0.00927734375,-4784.641490930456
2900,0.00026970772785055896,0.019958006218075752,0.017118575051426888,64.0,0.01132812537252903,-4741.632403191501
3000,0.0002500981502303451,0.019631091505289078,0.016900908201932907,64.0,0.012890624813735485,-4681.328909923157
3100,0.00023048796778361838,0.01942671276628971,0.016756970435380936,64.0,0.01474609412252903,-4641.451131597879
3200,0.00021099802340827494,0.019263364374637604,0.01664629764854908,64.0,0.01748046837747097,-4610.790069489358
3300,0.00019174841906484212,0.01857418194413185,0.016446733847260475,64.0,0.01923828199505806,-4555.501270678947
3400,0.000172857775677859,0.01920825056731701,0.016306456178426743,64.0,0.02089843712747097,-4516.638403202621
3500,0.00015444250216377537,0.019251486286520958,0.01618933491408825,64.0,0.02236328087747097,-4484.190340452359
3600,0.00013661607808980247,0.018532369285821915,0.016101069748401642,64.0,0.02402343787252903,-4459.7364338658845
3700,0.00011948835438415473,0.018542444333434105,0.01598365604877472,64.0,0.02548828162252903,-4427.207881684751
3800,0.00010316487640688024,0.018657371401786804,0.015891660004854202,64.0,0.0283203125,-4401.720463750593
3900,8.774623355269163e-05,0.018535463139414787,0.015798339620232582,64.0,0.03007812611758709,-4375.866446895987
4000,7.332743939370554e-05,0.018363919109106064,0.015718864277005196,64.0,0.03144531324505806,-4353.848191070642
4100,5.999734618181052e-05,0.018071671947836876,0.015628935769200325,64.0,0.03310547024011612,-4328.934006688292
4200,4.7838097318646385e-05,0.017799554392695427,0.01557796448469162,64.0,0.03408203274011612,-4314.81250805156
4300,3.692462116721321e-05,0.017727432772517204,0.01551438681781292,64.0,0.03486328199505806,-4297.198512134879
4400,2.7324169324370844e-05,0.018305892124772072,0.015472502447664738,64.0,0.03583984449505806,-4285.594506453694
4500,1.9095902199511435e-05,0.018071303144097328,0.015431340783834457,64.0,0.03632812574505806,-4274.19104796792
4600,1.2290524453171998e-05,0.017792556434869766,0.015408266335725784,64.0,0.03642578050494194,-4267.798225649447
4700,6.949972542108024e-06,0.01806696690618992,0.015388037078082561,64.0,0.03671875223517418,-4262.193726286291
4800,3.107156296253577e-06,0.018106108531355858,0.015373683534562588,64.0,0.037109375,-4258.2172778484455
4900,7.85756120035952e-07,0.017631549388170242,0.015366639010608196,64.0,0.03828125074505806,-4256.265578245213
5000,7.706774174387477e-11,0.017678454518318176,0.015365549363195896,64.0,0.03876953199505806,-4255.963573783995
