layer,head,score
15,10,0.205322
15,11,0.209717
15,12,0.989258
15,13,0.226807
15,14,0.099304
15,15,0.145020
15,16,0.155396
15,17,0.193848
15,18,0.121887
15,19,0.211182
16,0,0.230469
16,1,0.266602
16,2,0.251709
16,3,0.182129
16,4,0.186523
16,5,0.116394
16,6,0.147827
16,7,0.130493
16,8,0.239380
16,9,0.197632
16,10,0.109680
16,11,0.073914
16,12,0.580566
16,13,0.238403
16,14,0.174927
16,15,0.441895
16,16,0.144287
16,17,0.898926
16,18,0.135498
16,19,0.347168
17,0,0.224976
17,1,0.081848
17,2,0.161499
17,3,0.216675
17,4,0.096802
17,5,0.185059
17,6,0.340820
17,7,0.228882
17,8,0.143311
17,9,0.592773
17,10,0.152954
17,11,0.102356
17,12,0.184082
17,13,0.170288
17,14,0.123413
17,15,0.223999
17,16,0.192627
17,17,0.141113
17,18,0.093628
17,19,0.073120
18,0,0.093323
18,1,0.143188
18,2,0.141235
18,3,0.083008
18,4,0.101196
18,5,0.070984
18,6,0.149536
18,7,0.093140
18,8,0.192505
18,9,0.195312
18,10,0.271973
18,11,0.239624
18,12,0.142456
18,13,0.093018
18,14,0.280518
18,15,0.110168
18,16,0.072510
18,17,0.218384
18,18,0.120239
18,19,0.246460
19,0,0.159424
19,1,0.124329
19,2,0.099182
19,3,0.175659
19,4,0.180298
19,5,0.122620
19,6,0.218994
19,7,0.091431
19,8,0.750488
19,9,0.075806
19,10,0.095154
19,11,0.245850
19,12,0.167480
19,13,0.072388
19,14,0.111267
19,15,0.147339
19,16,0.100098
19,17,0.091919
19,18,0.130981
19,19,0.153198
20,0,0.225830
20,1,0.142944
20,2,0.121582
20,3,0.144775
20,4,0.183105
20,5,0.226685
20,6,0.135986
20,7,0.203491
20,8,0.071472
20,9,0.156250
20,10,0.271973
20,11,0.124756
20,12,0.075623
20,13,0.072632
20,14,0.071899
20,15,0.085266
20,16,0.078369
20,17,0.202271
20,18,0.121704
20,19,0.080811
21,0,0.084229
21,1,0.217163
21,2,0.112183
21,3,0.147461
21,4,0.072327
21,5,0.180176
21,6,0.071533
