layer,head,pattern_score,total_delta_nll,direct_delta_nll,indirect_delta_nll
0,0,0.15393100678920746,-0.016555000096559525,0.0,-0.016555000096559525
0,1,0.1536870002746582,0.006298999767750502,0.0,0.006298999767750502
0,2,0.18725599348545074,0.0046629998832941055,0.0,0.0046629998832941055
0,3,0.21459999680519104,0.005044000223278999,0.0,0.005044000223278999
0,4,0.145019993185997,-0.016076000407338142,0.0,-0.016076000407338142
0,5,0.19592300057411194,0.0028689999599009752,0.0,0.0028689999599009752
0,6,0.1462399959564209,0.0031389999203383923,0.0,0.0031389999203383923
0,7,0.13854999840259552,-0.002704000100493431,0.0,-0.002704000100493431
0,8,0.14868199825286865,-0.0002300000051036477,0.0,-0.0002300000051036477
0,9,0.1297609955072403,-0.0018090000376105309,0.0,-0.0018090000376105309
0,10,0.2391359955072403,-0.003461000043898821,0.0,-0.003461000043898821
0,11,0.13513199985027313,-0.005898999981582165,0.0,-0.005898999981582165
0,12,0.23669399321079254,-0.004381999839097261,0.0,-0.004381999839097261
0,13,0.1428219974040985,-0.003667999990284443,0.0,-0.003667999990284443
0,14,0.14685100317001343,0.0007559999939985573,0.0,0.0007559999939985573
0,15,0.1861570030450821,-0.0004780000017490238,0.0,-0.0004780000017490238
0,16,0.4230960011482239,-0.005299000069499016,0.0,-0.005299000069499016
0,17,0.1961670070886612,-0.007904999889433384,0.0,-0.007904999889433384
0,18,0.25537100434303284,-0.006244999822229147,0.0,-0.006244999822229147
0,19,0.17382800579071045,-0.013712000101804733,0.0,-0.013712000101804733
1,0,0.04055799916386604,-0.0011780000058934093,0.0,-0.0011780000058934093
1,1,0.14856000244617462,0.0010580000234767795,0.0,0.0010580000234767795
1,2,0.08514399826526642,0.009008999913930893,0.0,0.009008999913930893
1,3,0.022811999544501305,0.006012000143527985,0.0,0.006012000143527985
1,4,0.167603000998497,0.0006799999973736703,0.0,0.0006799999973736703
1,5,0.09881599992513657,0.00443299999460578,0.0,0.00443299999460578
1,6,0.1654050052165985,0.003056999994441867,0.0,0.003056999994441867
1,7,0.13305699825286865,0.0026569999754428864,0.0,0.0026569999754428864
1,8,0.1375730037689209,0.0018469999777153134,0.0,0.0018469999777153134
1,9,0.19897499680519104,-0.00018699999782256782,0.0,-0.00018699999782256782
1,10,0.0933229997754097,0.002741999924182892,0.0,0.002741999924182892
1,11,0.019805999472737312,0.008534000255167484,0.0,0.008534000255167484
1,12,0.05621299892663956,0.006082000210881233,0.0,0.006082000210881233
1,13,0.2856450080871582,0.007362999953329563,0.0,0.007362999953329563
1,14,0.05090299993753433,0.002560999942943454,0.0,0.002560999942943454
1,15,0.0555730015039444,0.008729999884963036,0.0,0.008729999884963036
1,16,0.06976299732923508,-0.0028860000893473625,0.0,-0.0028860000893473625
1,17,0.191894993185997,0.00405499991029501,0.0,0.00405499991029501
1,18,0.11962900310754776,-0.006231000181287527,0.0,-0.006231000181287527
1,19,0.21301299333572388,-0.0002859999949578196,0.0,-0.0002859999949578196
2,0,0.15258799493312836,0.013124000281095505,0.0,0.013124000281095505
2,1,0.19555699825286865,0.003541999962180853,0.0,0.003541999962180853
2,2,0.1367190033197403,0.011385000310838223,0.0,0.011385000310838223
2,3,0.12335199862718582,0.01003899984061718,0.0,0.01003899984061718
2,4,0.16003400087356567,0.0011530000483617187,0.0,0.0011530000483617187
2,5,0.13916000723838806,0.011785999871790409,0.0,0.011785999871790409
2,6,0.10369899868965149,0.004379000049084425,0.0,0.004379000049084425
2,7,0.2856450080871582,0.042628999799489975,0.0,0.042628999799489975
2,8,0.16333000361919403,-0.00447099981829524,0.0,-0.00447099981829524
2,9,0.10864300280809402,0.017431000247597694,0.0,0.017431000247597694
2,10,0.15173299610614777,-0.023243999108672142,0.0,-0.023243999108672142
2,11,0.1353760063648224,0.005570999812334776,0.0,0.005570999812334776
2,12,0.1470949947834015,0.0130390003323555,0.0,0.0130390003323555
2,13,0.1489260047674179,0.019493000581860542,0.0,0.019493000581860542
2,14,0.09899900108575821,0.00687299994751811,0.0,0.00687299994751811
2,15,0.09472700208425522,-0.0034229999873787165,0.0,-0.0034229999873787165
2,16,0.09252899885177612,-0.006099999882280827,0.0,-0.006099999882280827
2,17,0.1402589976787567,0.0048039997927844524,0.0,0.0048039997927844524
2,18,0.003756999969482422,0.02441300079226494,0.0,0.02441300079226494
2,19,0.1623540073633194,0.003587000072002411,0.0,0.003587000072002411
3,0,0.1445309966802597,0.020879000425338745,0.0,0.020879000425338745
3,1,0.1528320014476776,-0.008542999625205994,0.0,-0.008542999625205994
3,2,0.14013700187206268,-0.0019330000504851341,0.0,-0.0019330000504851341
3,3,0.10473600029945374,-0.01494900044053793,0.0,-0.01494900044053793
3,4,0.16088899970054626,-0.0340300016105175,0.0,-0.0340300016105175
3,5,0.20898400247097015,-0.004699000157415867,0.0,-0.004699000157415867
3,6,0.13342300057411194,-0.004708999767899513,0.0,-0.004708999767899513
3,7,0.14856000244617462,-8.399999933317304e-05,0.0,-8.399999933317304e-05
3,8,0.21069300174713135,0.00241800001822412,0.0,0.00241800001822412
3,9,0.07959000021219254,-0.0009379999828524888,0.0,-0.0009379999828524888
3,10,0.15026900172233582,-0.016818000003695488,0.0,-0.016818000003695488
3,11,0.1467290073633194,0.003696999978274107,0.0,0.003696999978274107
3,12,0.12365700304508209,-0.0007409999961964786,0.0,-0.0007409999961964786
3,13,0.18859900534152985,-0.0010160000529140234,0.0,-0.0010160000529140234
3,14,0.0855100005865097,0.012195000424981117,0.0,0.012195000424981117
3,15,0.151855006814003,-0.027348000556230545,0.0,-0.027348000556230545
3,16,0.13244600594043732,-0.008023999631404877,0.0,-0.008023999631404877
3,17,0.14160199463367462,-0.0026539999525994062,0.0,-0.0026539999525994062
3,18,0.10302700102329254,0.0021550001110881567,0.0,0.0021550001110881567
3,19,0.12731899321079254,0.007507000118494034,0.0,0.007507000118494034
4,0,0.15124499797821045,-0.0016840000171214342,0.0,-0.0016840000171214342
4,1,0.16992199420928955,0.00010099999781232327,0.0,0.00010099999781232327
4,2,0.18542499840259552,-0.0023060000967234373,0.0,-0.0023060000967234373
4,3,0.17028799653053284,-0.0014949999749660492,0.0,-0.0014949999749660492
4,4,0.12219200283288956,-0.003754999954253435,0.0,-0.003754999954253435
4,5,0.18591299653053284,0.00735200010240078,0.0,0.00735200010240078
4,6,0.10601799935102463,0.008659999817609787,0.0,0.008659999817609787
4,7,0.09307900071144104,-0.005164000205695629,0.0,-0.005164000205695629
4,8,0.3176270127296448,-0.0025839998852461576,0.0,-0.0025839998852461576
4,9,0.11608900129795074,0.0032190000638365746,0.0,0.0032190000638365746
4,10,0.23632800579071045,0.0026020000223070383,0.0,0.0026020000223070383
4,11,0.16589400172233582,0.0014979999978095293,0.0,0.0014979999978095293
4,12,0.08453399688005447,-0.006287999916821718,0.0,-0.006287999916821718
4,13,0.2539060115814209,0.003700000001117587,0.0,0.003700000001117587
4,14,0.17333999276161194,-0.0017950000474229455,0.0,-0.0017950000474229455
4,15,0.12469500303268433,-0.0032889998983591795,0.0,-0.0032889998983591795
4,16,0.12078899890184402,0.0035729999653995037,0.0,0.0035729999653995037
4,17,0.15209999680519104,0.0027729999274015427,0.0,0.0027729999274015427
4,18,0.1453859955072403,-0.0017709999810904264,0.0,-0.0017709999810904264
4,19,0.20727500319480896,0.005849000066518784,0.0,0.005849000066518784
5,0,0.2434079945087433,-0.006556999869644642,0.0,-0.006556999869644642
5,1,0.2512210011482239,0.01079300045967102,0.0,0.01079300045967102
5,2,0.2196040004491806,-0.0008370000286959112,0.0,-0.0008370000286959112
5,3,0.29272499680519104,0.0034759999252855778,0.0,0.0034759999252855778
5,4,0.19641099870204926,0.009734000079333782,0.0,0.009734000079333782
5,5,0.06683299690485,0.001930000027641654,0.0,0.001930000027641654
5,6,0.16418500244617462,-0.007034999784082174,0.0,-0.007034999784082174
5,7,0.09716799855232239,-0.0021609999239444733,0.0,-0.0021609999239444733
5,8,0.10583499819040298,-0.005681000184267759,0.0,-0.005681000184267759
5,9,0.1336670070886612,0.002686999971047044,0.0,0.002686999971047044
5,10,0.24536100029945374,-0.016728000715374947,0.0,-0.016728000715374947
5,11,0.3181149959564209,-0.014914999715983868,0.0,-0.014914999715983868
5,12,0.2243649959564209,-0.0044479998759925365,0.0,-0.0044479998759925365
5,13,0.24157699942588806,-0.008983000181615353,0.0,-0.008983000181615353
5,14,0.223021999001503,-0.00011999999696854502,0.0,-0.00011999999696854502
5,15,0.1436769962310791,0.005518999882042408,0.0,0.005518999882042408
5,16,0.08850099891424179,0.002469999948516488,0.0,0.002469999948516488
5,17,0.20507800579071045,-0.00633700005710125,0.0,-0.00633700005710125
5,18,0.2365719974040985,0.007977000437676907,0.0,0.007977000437676907
5,19,0.183228000998497,-0.010679000057280064,0.0,-0.010679000057280064
6,0,0.26196300983428955,-0.006186000071465969,0.0,-0.006186000071465969
6,1,0.4892579913139343,0.025337999686598778,0.0,0.025337999686598778
6,2,0.09918200224637985,-0.006401999853551388,0.0,-0.006401999853551388
6,3,0.4353030025959015,0.0012240000069141388,0.0,0.0012240000069141388
6,4,0.734375,0.009680000133812428,0.0,0.009680000133812428
6,5,0.12396200001239777,-0.006945999804884195,0.0,-0.006945999804884195
6,6,0.16393999755382538,0.010718000121414661,0.0,0.010718000121414661
6,7,0.2722170054912567,0.002056000055745244,0.0,0.002056000055745244
6,8,0.5327150225639343,-0.0014410000294446945,0.0,-0.0014410000294446945
6,9,0.37915000319480896,-0.005613999906927347,0.0,-0.005613999906927347
6,10,0.08111599832773209,0.031516000628471375,0.0,0.031516000628471375
6,11,0.12011700123548508,-0.008627999573946,0.0,-0.008627999573946
6,12,0.17004400491714478,-0.003306000027805567,0.0,-0.003306000027805567
6,13,0.2624509930610657,-0.011978999711573124,0.0,-0.011978999711573124
6,14,0.18591299653053284,-0.007062999997287989,0.0,-0.007062999997287989
6,15,0.176269993185997,-0.0006840000278316438,0.0,-0.0006840000278316438
6,16,0.4475100040435791,-0.015542999841272831,0.0,-0.015542999841272831
6,17,0.16552700102329254,0.007230000104755163,0.0,0.007230000104755163
6,18,0.4072270095348358,0.0317550003528595,0.0,0.0317550003528595
6,19,0.23339800536632538,0.005229000002145767,0.0,0.005229000002145767
7,0,0.2070309966802597,0.013534000143408775,0.0,0.013534000143408775
7,1,0.8427730202674866,0.014391999691724777,0.0,0.014391999691724777
7,2,0.34741199016571045,0.003109999932348728,0.0,0.003109999932348728
7,3,0.78125,-0.02276100032031536,0.0,-0.02276100032031536
7,4,0.4851070046424866,-0.022657999768853188,0.0,-0.022657999768853188
7,5,0.11535599827766418,-0.0033179998863488436,0.0,-0.0033179998863488436
7,6,0.2382809966802597,-0.00010699999984353781,0.0,-0.00010699999984353781
7,7,0.14074699580669403,0.038968998938798904,0.0,0.038968998938798904
7,8,0.19067400693893433,0.01825599931180477,0.0,0.01825599931180477
7,9,0.2880859971046448,0.00040099999750964344,0.0,0.00040099999750964344
7,10,0.1614989936351776,-0.005901999771595001,0.0,-0.005901999771595001
7,11,0.3833009898662567,-0.003664999967440963,0.0,-0.003664999967440963
7,12,0.1545410007238388,0.00216599996201694,0.0,0.00216599996201694
7,13,0.3286130130290985,0.011411000043153763,0.0,0.011411000043153763
7,14,0.9970700144767761,0.0921429991722107,0.0,0.0921429991722107
7,15,0.46850600838661194,-0.020457999780774117,0.0,-0.020457999780774117
7,16,0.2836909890174866,-0.0031880000606179237,0.0,-0.0031880000606179237
7,17,0.2929689884185791,0.00481100007891655,0.0,0.00481100007891655
7,18,0.22204600274562836,-0.046215999871492386,0.0,-0.046215999871492386
