layer,head,score,pattern_score,ablation_baseline_nll,ablation_nll,ablation_delta_nll,pattern_pct,ablation_pct,combined_pct
3,10,0.020294,0.020294,0.860877,0.829068,-0.031809,0.337969,0.033380,0.033380
3,11,0.005741,0.005741,0.860877,0.860684,-0.000193,0.200278,0.244784,0.200278
3,12,0.021133,0.021133,0.860877,0.922512,0.061635,0.349096,0.949930,0.349096
3,13,0.010620,0.010620,0.860877,0.858168,-0.002709,0.243394,0.141864,0.141864
3,14,0.004532,0.004532,0.860877,0.860523,-0.000354,0.179416,0.222531,0.179416
3,15,0.004704,0.004704,0.860877,0.860363,-0.000514,0.182197,0.207232,0.182197
3,16,0.015114,0.015114,0.860877,0.950620,0.089743,0.273992,0.965230,0.273992
3,17,0.001770,0.001770,0.860877,0.873671,0.012794,0.144645,0.842837,0.144645
3,18,0.008247,0.008247,0.860877,0.861995,0.001118,0.218359,0.684284,0.218359
3,19,0.009178,0.009178,0.860877,0.852997,-0.007880,0.228095,0.094576,0.094576
4,0,0.000010,0.000010,0.860877,0.876319,0.015442,0.034771,0.863700,0.034771
4,1,0.000903,0.000903,0.860877,0.866684,0.005808,0.130737,0.803894,0.130737
4,2,0.000000,0.000000,0.860877,0.887686,0.026809,0.009736,0.897079,0.009736
4,3,0.000786,0.000786,0.860877,0.876633,0.015756,0.125174,0.866481,0.125174
4,4,0.000211,0.000211,0.860877,0.871877,0.011000,0.077886,0.838665,0.077886
4,5,0.006187,0.006187,0.860877,0.906201,0.045324,0.204451,0.934631,0.204451
4,6,0.009605,0.009605,0.860877,0.867229,0.006353,0.235049,0.806676,0.235049
4,7,0.000789,0.000789,0.860877,0.839390,-0.021486,0.126565,0.044506,0.044506
4,8,0.001015,0.001015,0.860877,0.861908,0.001031,0.134910,0.677330,0.134910
4,9,0.000997,0.000997,0.860877,0.842110,-0.018767,0.132128,0.054242,0.054242
4,10,0.000007,0.000007,0.860877,0.916235,0.055358,0.030598,0.945758,0.030598
4,11,0.000370,0.000370,0.860877,0.870569,0.009692,0.090403,0.827538,0.090403
4,12,0.034943,0.034943,0.860877,0.878938,0.018061,0.556328,0.876217,0.556328
4,13,0.000000,0.000000,0.860877,0.971936,0.111060,0.012517,0.977747,0.012517
